playground_size,mpi_task,threads,runtime
1000,1,1,2.464758
1000,1,1,2.468129
1000,1,1,2.468144
1000,1,1,2.464527
1000,1,1,2.464205
1000,1,2,2.495803
1000,1,2,2.500381
1000,1,2,2.498744
1000,1,2,2.500062
1000,1,2,2.499927
1000,1,3,2.588655
1000,1,3,2.589392
1000,1,3,2.583387
1000,1,3,2.585786
1000,1,3,2.584858
1000,1,4,2.774496
1000,1,4,2.768149
1000,1,4,2.761602
1000,1,4,2.792473
1000,1,4,2.797075
1000,1,5,2.870638
1000,1,5,2.880453
1000,1,5,2.870255
1000,1,5,2.884443
1000,1,5,2.890597
1000,1,6,3.054926
1000,1,6,3.061757
1000,1,6,3.047293
1000,1,6,3.050094
1000,1,6,3.058033
1000,1,7,3.220893
1000,1,7,3.214051
1000,1,7,3.225069
1000,1,7,3.224434
1000,1,7,3.249071
1000,1,8,3.393213
1000,1,8,3.381014
1000,1,8,3.379629
1000,1,8,3.384022
1000,1,8,3.390373
1000,1,9,3.488923
1000,1,9,3.511237
1000,1,9,3.461447
1000,1,9,3.492782
1000,1,9,3.477718
1000,1,10,3.496396
1000,1,10,3.509772
1000,1,10,3.506521
1000,1,10,3.508751
1000,1,10,3.502573
1000,1,11,3.637167
1000,1,11,3.633149
1000,1,11,3.642151
1000,1,11,3.644435
1000,1,11,3.617765
1000,1,12,3.659939
1000,1,12,3.675211
1000,1,12,3.665923
1000,1,12,3.664744
1000,1,12,3.662733
1000,2,1,0.951521
1000,2,1,0.950329
1000,2,1,0.951363
1000,2,1,0.946847
1000,2,1,0.947846
1000,2,2,0.990089
1000,2,2,0.990861
1000,2,2,0.985904
1000,2,2,0.986023
1000,2,2,0.992607
1000,2,3,1.008144
1000,2,3,1.020539
1000,2,3,1.017113
1000,2,3,1.010301
1000,2,3,1.004765
1000,2,4,1.023449
1000,2,4,1.021688
1000,2,4,1.028729
1000,2,4,1.038391
1000,2,4,1.020916
1000,2,5,1.035921
1000,2,5,1.044377
1000,2,5,1.038125
1000,2,5,1.043249
1000,2,5,1.037372
1000,2,6,1.050017
1000,2,6,1.046863
1000,2,6,1.056496
1000,2,6,1.046066
1000,2,6,1.057365
1000,2,7,1.061696
1000,2,7,1.065181
1000,2,7,1.061924
1000,2,7,1.064392
1000,2,7,1.061901
1000,2,8,1.075538
1000,2,8,1.078349
1000,2,8,1.072506
1000,2,8,1.070315
1000,2,8,1.074628
1000,2,9,1.097815
1000,2,9,1.097583
1000,2,9,1.092178
1000,2,9,1.092345
1000,2,9,1.096675
1000,2,10,1.105954
1000,2,10,1.116998
1000,2,10,1.112383
1000,2,10,1.107702
1000,2,10,1.103581
1000,2,11,1.111684
1000,2,11,1.106162
1000,2,11,1.122147
1000,2,11,1.109739
1000,2,11,1.123481
1000,2,12,1.130818
1000,2,12,1.131103
1000,2,12,1.127559
1000,2,12,1.130791
1000,2,12,1.131556
5000,1,1,61.729607
5000,1,1,61.757163
5000,1,1,61.736016
5000,1,1,61.747274
5000,1,1,61.795892
5000,1,2,62.140501
5000,1,2,62.152587
5000,1,2,62.170003
5000,1,2,62.173498
5000,1,2,62.160952
5000,1,3,64.695428
5000,1,3,62.176995
5000,1,3,62.142317
5000,1,3,62.181622
5000,1,3,62.137011
5000,1,4,62.194416
5000,1,4,62.207558
5000,1,4,62.205393
5000,1,4,62.197594
5000,1,4,62.198954
5000,1,5,62.243825
5000,1,5,62.250663
5000,1,5,62.235431
5000,1,5,62.243113
5000,1,5,62.252046
5000,1,6,62.274959
5000,1,6,62.270628
5000,1,6,62.276354
5000,1,6,62.272102
5000,1,6,62.293721
5000,1,7,62.325493
5000,1,7,62.308159
5000,1,7,62.279808
5000,1,7,62.314138
5000,1,7,62.304167
5000,1,8,62.356466
5000,1,8,62.356495
5000,1,8,62.355747
5000,1,8,62.355859
5000,1,8,62.350489
5000,1,9,62.401743
5000,1,9,62.394967
5000,1,9,62.400837
5000,1,9,62.397502
5000,1,9,62.416395
5000,1,10,62.451244
5000,1,10,62.455777
5000,1,10,62.431152
5000,1,10,62.444804
5000,1,10,62.470163
5000,1,11,62.502184
5000,1,11,62.488151
5000,1,11,62.500347
5000,1,11,62.499952
5000,1,11,62.503032
5000,1,12,62.564996
5000,1,12,62.537129
5000,1,12,62.539935
5000,1,12,62.573471
5000,1,12,62.552543
5000,2,1,23.204938
5000,2,1,23.205094
5000,2,1,23.199284
5000,2,1,23.194743
5000,2,1,23.192463
5000,2,2,23.165104
5000,2,2,23.177728
5000,2,2,23.180254
5000,2,2,23.175298
5000,2,2,23.218266
5000,2,3,23.261216
5000,2,3,23.278759
5000,2,3,23.305853
5000,2,3,23.277192
5000,2,3,23.271589
5000,2,4,23.343636
5000,2,4,23.375515
5000,2,4,23.343464
5000,2,4,23.347532
5000,2,4,23.366262
5000,2,5,23.468663
5000,2,5,23.404839
5000,2,5,23.418631
5000,2,5,23.407428
5000,2,5,23.416708
5000,2,6,23.530012
5000,2,6,23.509183
5000,2,6,23.520251
5000,2,6,23.505521
5000,2,6,23.528938
5000,2,7,23.593802
5000,2,7,23.608461
5000,2,7,23.594557
5000,2,7,23.598578
5000,2,7,23.595881
5000,2,8,23.666248
5000,2,8,23.656826
5000,2,8,23.679462
5000,2,8,23.655395
5000,2,8,23.667825
5000,2,9,23.758192
5000,2,9,23.797743
5000,2,9,23.781438
5000,2,9,23.765235
5000,2,9,23.754495
5000,2,10,23.834024
5000,2,10,23.845762
5000,2,10,23.860822
5000,2,10,23.830721
5000,2,10,23.844738
5000,2,11,23.900212
5000,2,11,23.909008
5000,2,11,23.909813
5000,2,11,23.913704
5000,2,11,23.901103
5000,2,12,24.012092
5000,2,12,23.992665
5000,2,12,23.997501
5000,2,12,23.987999
5000,2,12,24.002518
