playground_size,mpi_task,threads,runtime,mean_time
1000,1,1,2.270236,0.045405
1000,1,1,2.269189,0.045384
1000,1,1,2.269781,0.045396
1000,1,1,2.269992,0.045400
1000,1,1,2.269347,0.045387
1000,1,2,1.175290,0.023506
1000,1,2,1.173623,0.023472
1000,1,2,1.173341,0.023467
1000,1,2,1.174783,0.023496
1000,1,2,1.175533,0.023511
1000,1,3,0.800126,0.016003
1000,1,3,0.799790,0.015996
1000,1,3,0.796834,0.015937
1000,1,3,0.796286,0.015926
1000,1,3,0.798004,0.015960
1000,1,4,0.610697,0.012214
1000,1,4,0.610195,0.012204
1000,1,4,0.609960,0.012199
1000,1,4,0.616553,0.012331
1000,1,4,0.614723,0.012294
1000,1,5,0.496381,0.009928
1000,1,5,0.497086,0.009942
1000,1,5,0.497107,0.009942
1000,1,5,0.496904,0.009938
1000,1,5,0.497086,0.009942
1000,1,6,0.421013,0.008420
1000,1,6,0.421336,0.008427
1000,1,6,0.419787,0.008396
1000,1,6,0.420874,0.008417
1000,1,6,0.420110,0.008402
1000,1,7,0.367336,0.007347
1000,1,7,0.366363,0.007327
1000,1,7,0.368161,0.007363
1000,1,7,0.369395,0.007388
1000,1,7,0.368503,0.007370
1000,1,8,0.328215,0.006564
1000,1,8,0.327124,0.006542
1000,1,8,0.327436,0.006549
1000,1,8,0.327015,0.006540
1000,1,8,0.326536,0.006531
1000,1,9,0.294375,0.005888
1000,1,9,0.294175,0.005884
1000,1,9,0.294736,0.005895
1000,1,9,0.294712,0.005894
1000,1,9,0.295150,0.005903
1000,1,10,0.269766,0.005395
1000,1,10,0.271062,0.005421
1000,1,10,0.271223,0.005424
1000,1,10,0.270096,0.005402
1000,1,10,0.271776,0.005436
1000,1,11,0.251121,0.005022
1000,1,11,0.249312,0.004986
1000,1,11,0.253354,0.005067
1000,1,11,0.251753,0.005035
1000,1,11,0.253497,0.005070
1000,1,12,0.243755,0.004875
1000,1,12,0.236905,0.004738
1000,1,12,0.233281,0.004666
1000,1,12,0.234198,0.004684
1000,1,12,0.241787,0.004836
1000,2,1,0.718653,0.014373
1000,2,1,0.998286,0.019966
1000,2,1,0.716100,0.014322
1000,2,1,0.715292,0.014306
1000,2,1,0.716350,0.014327
1000,2,2,0.398805,0.007976
1000,2,2,0.398746,0.007975
1000,2,2,0.402193,0.008044
1000,2,2,0.400617,0.008012
1000,2,2,0.401894,0.008038
1000,2,3,0.281486,0.005630
1000,2,3,0.279730,0.005595
1000,2,3,0.284251,0.005685
1000,2,3,0.280042,0.005601
1000,2,3,0.283001,0.005660
1000,2,4,0.222898,0.004458
1000,2,4,0.230788,0.004616
1000,2,4,0.226514,0.004530
1000,2,4,0.231702,0.004634
1000,2,4,0.234328,0.004687
1000,2,5,0.196351,0.003927
1000,2,5,0.191523,0.003830
1000,2,5,0.188286,0.003766
1000,2,5,0.187999,0.003760
1000,2,5,0.194608,0.003892
1000,2,6,0.164281,0.003286
1000,2,6,0.164003,0.003280
1000,2,6,0.181984,0.003640
1000,2,6,0.174760,0.003495
1000,2,6,0.171275,0.003425
1000,2,7,0.150438,0.003009
1000,2,7,0.146705,0.002934
1000,2,7,0.154594,0.003092
1000,2,7,0.149608,0.002992
1000,2,7,0.147981,0.002960
1000,2,8,0.138275,0.002766
1000,2,8,0.143925,0.002879
1000,2,8,0.135582,0.002712
1000,2,8,0.145875,0.002918
1000,2,8,0.134201,0.002684
1000,2,9,0.124761,0.002495
1000,2,9,0.124398,0.002488
1000,2,9,0.125648,0.002513
1000,2,9,0.124496,0.002490
1000,2,9,0.125953,0.002519
1000,2,10,0.127994,0.002560
1000,2,10,0.119712,0.002394
1000,2,10,0.116351,0.002327
1000,2,10,0.117141,0.002343
1000,2,10,0.117918,0.002358
1000,2,11,0.111917,0.002238
1000,2,11,0.113789,0.002276
1000,2,11,0.113208,0.002264
1000,2,11,0.112866,0.002257
1000,2,11,0.121091,0.002422
1000,2,12,0.105097,0.002102
1000,2,12,0.105754,0.002115
1000,2,12,0.109859,0.002197
1000,2,12,0.104950,0.002099
1000,2,12,0.115050,0.002301
1000,3,1,0.501154,0.010023
1000,3,1,0.491605,0.009832
1000,3,1,0.489708,0.009794
1000,3,1,0.500353,0.010007
1000,3,1,0.498164,0.009963
1000,3,2,0.303417,0.006068
1000,3,2,0.296944,0.005939
1000,3,2,0.295649,0.005913
1000,3,2,0.304759,0.006095
1000,3,2,0.303974,0.006079
1000,3,3,0.221703,0.004434
1000,3,3,0.220175,0.004403
1000,3,3,0.216462,0.004329
1000,3,3,0.233268,0.004665
1000,3,3,0.223114,0.004462
1000,3,4,0.190283,0.003806
1000,3,4,0.180141,0.003603
1000,3,4,0.186083,0.003722
1000,3,4,0.190329,0.003807
1000,3,4,0.187373,0.003747
1000,3,5,0.176231,0.003525
1000,3,5,0.169862,0.003397
1000,3,5,0.167297,0.003346
1000,3,5,0.152006,0.003040
