playground_size,mpi_task,runtime,mean_time
1000,1,2.270909,0.045418
1000,1,2.269575,0.045391
1000,1,2.269561,0.045391
1000,1,2.268963,0.045379
1000,1,2.269427,0.045389
1000,2,0.726707,0.014534
1000,2,0.728142,0.014563
1000,2,0.727223,0.014544
1000,2,0.728298,0.014566
1000,2,0.723548,0.014471
1000,3,0.498113,0.009962
1000,3,0.496370,0.009927
1000,3,0.503672,0.010073
1000,3,0.494400,0.009888
1000,3,0.500701,0.010014
1000,4,0.381648,0.007633
1000,4,0.378383,0.007568
1000,4,0.381981,0.007640
1000,4,0.395041,0.007901
1000,4,0.384523,0.007690
1000,5,0.312547,0.006251
1000,5,0.310709,0.006214
1000,5,0.313382,0.006268
1000,5,0.313399,0.006268
1000,5,0.312841,0.006257
1000,6,0.270488,0.005410
1000,6,0.266618,0.005332
1000,6,0.278017,0.005560
1000,6,0.269720,0.005394
1000,6,0.267849,0.005357
1000,7,0.231751,0.004635
1000,7,0.234505,0.004690
1000,7,0.239083,0.004782
1000,7,0.237635,0.004753
1000,7,0.240138,0.004803
1000,8,0.211302,0.004226
1000,8,0.212401,0.004248
1000,8,0.227309,0.004546
1000,8,0.213390,0.004268
1000,8,0.209990,0.004200
5000,1,56.773247,1.135465
5000,1,56.856717,1.137134
5000,1,56.776821,1.135536
5000,1,56.774278,1.135486
5000,1,56.773873,1.135477
5000,2,17.829328,0.356587
5000,2,17.822613,0.356452
5000,2,17.825425,0.356508
5000,2,17.826865,0.356537
5000,2,17.825857,0.356517
5000,3,11.942937,0.238859
5000,3,11.910442,0.238209
5000,3,11.902893,0.238058
5000,3,11.906959,0.238139
5000,3,11.909822,0.238196
5000,4,8.951215,0.179024
5000,4,8.948208,0.178964
5000,4,8.946633,0.178933
5000,4,8.950742,0.179015
5000,4,8.947421,0.178948
5000,5,7.180039,0.143601
5000,5,7.182177,0.143644
5000,5,7.179516,0.143590
5000,5,7.238805,0.144776
5000,5,7.194788,0.143896
5000,6,6.006957,0.120139
5000,6,6.022225,0.120444
5000,6,6.002361,0.120047
5000,6,6.017519,0.120350
5000,6,6.016261,0.120325
5000,7,5.170602,0.103412
5000,7,5.161418,0.103228
5000,7,5.185954,0.103719
5000,7,5.165798,0.103316
5000,7,5.168565,0.103371
5000,8,4.523872,0.090477
5000,8,4.534296,0.090686
5000,8,4.530959,0.090619
5000,8,4.526973,0.090539
5000,8,4.528810,0.090576
10000,1,226.957526,4.539151
10000,1,227.096706,4.541934
10000,1,226.966858,4.539337
10000,1,226.984162,4.539683
10000,1,226.991866,4.539837
10000,2,71.242508,1.424850
10000,2,71.240285,1.424806
10000,2,71.240018,1.424800
10000,2,71.240452,1.424809
10000,2,71.251411,1.425028
10000,3,47.615079,0.952302
10000,3,47.612602,0.952252
10000,3,47.591634,0.951833
10000,3,47.595008,0.951900
10000,3,47.578931,0.951579
10000,4,35.767327,0.715347
10000,4,35.777643,0.715553
10000,4,35.762617,0.715252
10000,4,35.762088,0.715242
10000,4,35.780380,0.715608
10000,5,28.703591,0.574072
10000,5,28.723491,0.574470
10000,5,28.754407,0.575088
10000,5,28.743980,0.574880
10000,5,28.733855,0.574677
10000,6,23.965237,0.479305
10000,6,23.985678,0.479714
10000,6,23.972367,0.479447
10000,6,23.969492,0.479390
10000,6,23.978903,0.479578
10000,7,20.593794,0.411876
10000,7,20.592691,0.411854
10000,7,20.620217,0.412404
10000,7,20.641032,0.412821
10000,7,20.587198,0.411744
10000,8,18.058483,0.361170
10000,8,18.042127,0.360843
10000,8,18.057516,0.361150
10000,8,18.024016,0.360480
10000,8,18.029453,0.360589
