playground_size,mpi_task,runtime,mean_time
5000,1,4.825509,0.096510
5000,1,4.810538,0.096211
5000,1,4.811502,0.096230
5000,1,4.811941,0.096239
5000,1,4.815678,0.096314
7071,2,3.167055,0.063341
7071,2,3.166805,0.063336
7071,2,3.184690,0.063694
7071,2,3.168000,0.063360
7071,2,3.164956,0.063299
8660,3,3.225125,0.064503
8660,3,3.236822,0.064736
8660,3,3.233084,0.064662
8660,3,3.235224,0.064704
8660,3,3.341544,0.066831
10000,4,3.288297,0.065766
10000,4,3.289889,0.065798
10000,4,3.282810,0.065656
10000,4,3.316666,0.066333
10000,4,3.294178,0.065884
11180,5,3.375911,0.067518
11180,5,3.383784,0.067676
11180,5,3.551993,0.071040
11180,5,3.356222,0.067124
11180,5,3.346565,0.066931
12247,6,3.443306,0.068866
12247,6,3.453090,0.069062
12247,6,3.463790,0.069276
12247,6,3.467521,0.069350
12247,6,3.473773,0.069475
13228,7,3.491382,0.069828
13228,7,3.728163,0.074563
13228,7,3.499157,0.069983
13228,7,3.495732,0.069915
13228,7,3.516452,0.070329
14142,8,3.562379,0.071248
14142,8,3.605718,0.072114
14142,8,3.602561,0.072051
14142,8,3.812372,0.076247
14142,8,3.743968,0.074879
