threads,runtime,GFLOPS
1,42.59786796,47.551358
1,41.969204116,47.653989
1,41.655830295,48.012487
1,41.907029524,47.724690
1,41.978100902,47.643889
2,21.698350853,92.172904
2,21.995932598,90.925901
2,21.712263370,92.113842
2,21.788064816,91.793375
2,21.858370487,91.498129
4,12.38424960,166.134690
4,12.80692988,165.553417
4,12.211514110,163.779854
4,12.65369382,165.763678
4,12.80311077,165.558651
8,5.885498982,339.818256
8,5.811602732,344.139146
8,5.807699477,344.370436
8,5.777623631,346.163082
8,5.788879913,345.489979
12,3.974073889,503.261906
12,3.949954117,506.334995
12,3.913577313,511.041393
12,3.970583998,503.704241
12,3.938037234,507.867214
16,2.894155506,691.047871
16,2.883519499,693.596836
16,2.924707350,683.829102
16,2.916513053,685.750403
16,2.873280094,696.068582
20,2.477053750,807.410820
20,2.489553332,803.356961
20,2.490018734,803.206808
20,2.472081454,809.034830
20,2.474462101,808.256469
24,2.478728769,806.865206
24,2.482225359,805.728615
24,2.478665208,806.885897
24,2.472133120,809.017922
24,2.461138931,812.631898
28,2.245907306,890.508702
28,2.244504315,891.065340
28,2.245854538,890.529625
28,2.244110956,891.221530
28,2.253962193,887.326330
32,2.275896874,878.774440
32,2.286982957,874.514606
32,2.273816881,879.578306
32,2.284902219,875.310980
32,2.286455998,874.716155
36,2.189091049,913.621204
36,2.213223815,903.659172
36,2.202555954,908.035955
36,2.214465956,903.152290
36,2.222019038,900.082297
40,2.274505824,879.311883
40,2.292693573,872.336375
40,2.272829528,879.960409
40,2.318697011,862.553404
40,2.282915354,876.072780
44,2.413951952,828.516905
44,2.398975217,833.689313
44,2.477392261,807.300496
44,2.476692667,807.528535
44,2.433920303,821.719593
48,2.197501932,910.124342
48,2.181309015,916.880637
48,2.195953606,910.766054
48,2.196026423,910.735854
48,2.197806283,909.998309
52,2.532246596,789.812494
52,2.660192554,751.825276
52,2.587152761,773.050602
52,2.564741235,779.805765
52,2.594456368,770.874402
56,2.465956801,811.044216
56,2.488493272,803.699179
56,2.450099955,816.293228
56,2.512141289,796.133565
56,2.533372610,789.461444
60,2.260736946,884.667278
60,2.293723275,871.944764
60,2.158342368,926.637048
60,2.251887928,888.143666
60,2.186913773,914.530799
64,2.453403743,815.193996
64,2.522643616,792.819084
64,2.495204456,801.537523
64,2.334266197,856.800309
64,2.502676958,799.144290
68,2.755388122,725.850556
68,2.535697524,788.737608
68,2.514025284,795.536947
68,2.803576261,713.374567
68,2.559410160,781.430046
72,2.397885503,834.068181
72,2.537476921,788.184509
72,2.413391029,828.709470
72,2.538174762,787.967807
72,2.368625183,844.371669
76,2.836476780,705.100078
76,2.546927056,785.260024
76,2.847059680,702.479128
76,2.533401903,789.452316
76,2.612809017,765.459698
80,2.351485270,850.526272
80,2.333776959,856.979924
80,2.475452070,807.933235
80,2.350396677,850.920196
80,2.341070506,854.310024
84,2.430447455,822.893742
84,2.395080798,835.044898
84,2.402911782,832.323523
84,2.408227238,830.486413
84,2.369541121,844.045280
88,2.232023353,896.047972
88,2.212644528,903.895757
88,2.236068522,894.426973
88,2.344106760,853.203461
88,2.330830560,858.063230
92,2.845202705,702.937614
92,2.868556128,697.214874
92,2.860427355,699.196222
92,3.24650638,661.233392
92,2.839218404,704.419215
96,2.298600389,870.094693
96,2.297737590,870.421413
96,2.297920152,870.352261
96,2.314444288,864.138321
96,2.418904495,826.820573
100,2.479280814,806.685547
100,2.472902453,808.766232
100,2.476961301,807.440956
100,2.379172175,840.628527
100,2.410914550,829.560716
104,2.402534112,832.454361
104,2.408697581,830.324245
104,2.291958635,872.616098
104,2.289531610,873.541117
104,2.317401420,863.035632
108,2.455874160,814.373974
108,2.444600987,818.129425
108,2.451790588,815.730352
108,2.464822531,811.417445
108,2.468222853,810.299604
112,2.765339065,723.238617
112,2.791107924,716.561328
112,2.787106915,717.589982
112,2.829642956,706.802954
112,2.759729080,724.708818
116,3.862620038,517.783261
116,3.984276262,501.973224
116,3.910867509,511.395488
116,3.820336421,523.514104
116,3.798076530,526.582333
120,2.643762142,756.497708
120,2.601157423,768.888489
120,2.615917048,764.550237
120,2.566187677,779.366224
120,2.592166820,771.555281
124,4.170534044,479.554891
124,4.236972120,472.035204
124,3.962851518,504.687090
124,4.204415116,475.690422
124,4.221473176,473.768260
128,3.57040598,654.227491
128,3.86328329,648.019195
128,3.94980115,646.207706
128,3.57580403,654.111989
128,3.46114373,656.574165
