threads,runtime,GFLOPS
1,43.880344627,45.578493
1,43.597471977,45.874220
1,43.806305659,45.655528
1,43.425907746,46.055456
1,43.892637145,45.565729
2,22.388497307,89.331587
2,22.334152054,89.548956
2,22.276751057,89.779699
2,22.222562030,89.998624
2,22.430030816,89.166173
4,11.434990550,174.901762
4,11.310363170,176.828982
4,11.358236027,176.083680
4,11.341275328,176.347011
4,11.327596649,176.559959
8,6.5883281,333.006805
8,6.108175,333.327324
8,5.955791723,335.807579
8,5.985851272,334.121232
8,5.930214775,337.255913
12,4.222382755,473.666201
12,4.235136868,472.239756
12,4.248494234,470.755023
12,4.232651474,472.517053
12,4.240596312,471.631783
16,3.900286594,512.782831
16,3.931436859,508.719858
16,3.867713418,517.101394
16,3.957770816,505.334971
16,3.896477814,513.284072
20,3.748490528,533.548100
20,3.754182459,532.739157
20,3.731674513,535.952424
20,3.742309139,534.429393
20,3.574924971,559.452301
24,3.625299233,551.678598
24,3.656308563,546.999786
24,3.628587113,551.178720
24,3.401114056,588.042614
24,3.673405546,544.453907
28,3.221366919,620.854454
28,3.590713381,556.992382
28,3.573964691,559.602619
28,3.184705031,628.001646
28,3.200853685,624.833309
32,3.203619104,624.293942
32,3.475634748,575.434459
32,3.25174984,661.118782
32,3.13902480,663.591478
32,3.516873545,568.686924
36,3.450678914,579.596088
36,3.552152418,563.038903
36,3.117543357,641.530773
36,3.531227922,566.375222
36,3.28088469,660.482684
40,3.468648074,576.593519
40,2.939720083,680.336884
40,3.436549913,581.979034
40,2.951285525,677.670792
40,2.958816738,675.945886
44,3.496050850,572.074059
44,2.903118073,688.914453
44,2.928387135,682.969808
44,2.914654943,686.187572
44,2.917402213,685.541401
48,2.919402281,685.071740
48,3.387156534,590.465773
48,2.918023673,685.395399
48,2.784547670,718.249510
48,2.741739897,729.463799
52,3.577570055,559.038668
52,2.934090493,681.642235
52,2.856798478,700.084383
52,2.929104517,682.802539
52,3.556982496,562.274344
56,2.872710218,696.206665
56,2.826313165,707.635666
56,2.971455851,673.070744
56,2.822207410,708.665137
56,2.845472667,702.870923
60,2.975062870,672.254701
60,2.972549625,672.823082
60,2.980916333,670.934631
60,2.982092692,670.669965
60,2.958580651,675.999824
64,2.946164942,678.848618
64,2.944738695,679.177410
64,2.949637327,678.049461
64,2.988687387,669.190096
64,2.953717975,677.112716
68,3.363267784,594.659756
68,2.986599128,669.658000
68,2.955635982,676.673316
68,2.969289566,673.561792
68,2.945363147,679.033416
72,2.930540172,682.468038
72,2.985692413,669.861367
72,3.585927744,557.735722
72,2.939828551,680.311782
72,2.932088777,682.107587
76,3.53387509,655.010212
76,3.733672,666.503668
76,3.29318543,660.214491
76,2.991655284,668.526220
76,3.83139281,648.689474
80,3.191916145,626.582877
80,3.185039537,627.935690
80,3.181290285,628.675732
80,3.179637594,629.002501
80,3.158769084,633.158027
84,3.88889641,647.481857
84,3.549434547,563.470033
84,3.547827310,563.725296
84,3.573611624,559.657906
84,3.570959248,560.073600
88,3.181214433,628.690722
88,3.189117183,627.132804
88,3.159057752,633.100170
88,3.188209007,627.311445
88,3.171992909,630.518433
92,3.251309190,615.136821
92,3.226246085,619.915514
92,3.227966265,619.585162
92,3.268487606,611.903804
92,3.231351007,618.936165
96,3.610291256,553.971926
96,3.616805161,552.974216
96,3.621205859,552.302210
96,3.629988790,550.965889
96,3.643254333,548.959753
100,3.661293175,546.255081
100,3.652653342,547.547170
100,3.646771383,548.430321
100,3.634658854,550.257969
100,3.633290572,550.465194
104,3.660516898,546.370924
104,3.673896075,544.381213
104,3.653152327,547.472380
104,3.672873505,544.532774
104,3.673631937,544.420354
108,3.696268578,541.086222
108,3.696192925,541.097297
108,3.677649789,543.825572
108,3.706587829,539.579822
108,3.682037493,543.177522
112,3.704817651,539.837635
112,3.728624295,536.390862
112,3.711097434,538.924142
112,3.712904837,538.661799
112,3.739486318,534.832817
116,3.749778761,533.364800
116,3.716364128,538.160398
116,3.726200795,536.739728
116,3.721918759,537.357242
116,3.744265155,534.150205
120,3.752813426,532.933502
120,3.770437856,530.442372
120,3.757534804,532.263866
120,3.757969813,532.202253
120,3.754032014,532.760507
124,3.803753757,525.796392
124,3.790475942,527.638226
124,3.789141877,527.823994
124,3.802640129,525.950375
124,3.796035001,526.865532
128,3.830710846,522.096311
128,3.837485778,521.174570
128,3.850052029,519.473499
128,3.826707629,522.642489
128,3.829969104,522.197424
