threads,runtime,GFLOPS
1,42.49381928,47.563125
1,42.609428464,46.937968
1,42.28826375,47.586387
1,42.420301809,47.147236
1,42.135252241,47.466193
2,21.766197819,91.885593
2,21.971051617,91.028870
2,21.959496624,91.076769
2,21.977389922,91.002617
2,21.905625822,91.300747
4,10.798758539,185.206475
4,10.727820941,186.431150
4,10.824000518,184.774566
4,10.749629537,186.052923
4,10.805262293,185.094998
8,5.470341559,365.607884
8,5.542206388,360.867110
8,5.517012528,362.515037
8,5.481369595,364.872313
8,5.477874104,365.105142
12,3.713012002,538.646252
12,3.737223598,535.156634
12,3.711609300,538.849819
12,3.715528336,538.281455
12,3.711914203,538.805557
16,2.949651140,678.046286
16,2.943301529,679.509041
16,2.943768305,679.401295
16,2.955735751,676.650475
16,2.918052844,685.388547
20,2.468916178,810.072054
20,2.467228190,810.626276
20,2.474754343,808.161022
20,2.475062241,808.060487
20,2.470769355,809.464467
24,2.214360460,903.195318
24,2.251386248,888.341573
24,2.222604159,899.845342
24,2.268914392,881.478828
24,2.223634052,899.428572
28,2.131344987,938.374600
28,2.174544213,919.732967
28,2.129217685,939.312131
28,2.161703604,925.196219
28,2.168382326,922.346570
32,2.211699113,904.282137
32,2.203829739,907.511122
32,2.101492557,951.704537
32,2.86698194,958.451972
32,2.118065447,944.257885
36,2.267976273,881.843441
36,2.138800969,935.103373
36,2.122230311,942.404785
36,2.222237531,899.993800
36,2.271861212,880.335467
40,2.108649908,948.474184
40,2.108655467,948.471683
40,2.89626490,957.108847
40,2.110693993,947.555641
40,2.249200188,889.204976
44,2.254531201,887.102383
44,2.74790108,963.952928
44,2.266740906,882.324043
44,2.90186680,956.852332
44,2.249325001,889.155635
48,2.114934382,945.655817
48,2.42431366,979.225071
48,2.233373990,895.506086
48,2.54112516,973.656499
48,2.38987212,980.879129
52,2.87608293,958.034133
52,2.269211238,881.363518
52,2.125092664,941.135431
52,2.94999612,954.654115
52,2.295690721,871.197493
56,2.473386297,808.608021
56,2.497209412,800.893986
56,2.477759442,807.180861
56,2.115012519,945.620880
56,2.156207293,927.554603
60,2.218795723,901.389875
60,2.228959446,897.279672
60,2.217475045,901.926723
60,2.160072555,925.894825
60,2.173062412,920.360128
64,2.308737814,866.274199
64,2.486288548,804.411862
64,2.589154561,772.452920
64,2.471511419,809.221428
64,2.484152549,805.103536
68,2.585499512,773.544915
68,2.561291151,780.856171
68,2.601837202,768.687602
68,2.590784480,771.966953
68,2.574491812,776.852344
72,2.588127164,772.759557
72,2.521018070,793.330291
72,2.541565648,786.916522
72,2.566904237,779.148661
72,2.540054212,787.384769
76,2.490588637,803.023016
76,2.570162342,778.160962
76,2.553507748,783.236315
76,2.552846397,783.439224
76,2.510128686,796.771899
80,2.600468483,769.092190
80,2.570135943,778.168955
80,2.602353348,768.535142
80,2.526459171,791.621738
80,2.545017657,785.849165
84,2.688637227,743.871274
84,2.685768705,744.665762
84,2.689730800,743.568836
84,2.687304276,744.240248
84,2.695436846,741.994754
88,2.810352773,711.654430
88,2.775106551,720.693048
88,2.756913244,725.449016
88,2.791772628,716.390719
88,2.803910577,713.289509
92,2.901167315,689.377682
92,2.867550172,697.459462
92,2.890099105,692.017792
92,2.852928282,701.034096
92,2.859115992,699.516916
96,2.851433347,701.401631
96,2.859878434,699.330425
96,2.916975200,685.641757
96,2.863785667,698.376287
96,2.912134125,686.781554
100,2.971920697,672.965467
100,2.960028269,675.669223
100,2.951194533,677.691686
100,2.943002761,679.578024
100,2.983208458,670.419124
104,2.988981672,669.124210
104,2.971257504,673.115675
104,2.986756498,669.622717
104,3.33930385,659.210907
104,3.56908085,654.255851
108,3.169272472,631.059657
108,3.108183669,643.462618
108,3.174956087,629.929972
108,3.128483208,639.287433
108,3.101164160,644.919100
112,3.163177112,632.275693
112,3.127265492,639.536363
112,3.136953262,637.561300
112,3.133999449,638.162205
112,3.109980044,643.090943
116,3.158748072,633.162238
116,3.199500817,625.097512
116,3.176554506,629.612996
116,3.163127990,632.285512
116,3.146555892,635.615596
120,3.263796521,612.783299
120,3.276535306,610.400870
120,3.261493510,613.215999
120,3.250684215,615.255087
120,3.282358494,609.317966
124,3.364066211,594.518620
124,3.339275751,598.932268
124,3.373804928,592.802501
124,3.307351755,604.713423
124,3.292540511,607.433680
128,3.367508731,593.910858
128,3.340446389,598.722376
128,3.377414461,592.168957
128,3.367854212,593.849934
128,3.357068459,595.757884
