threads,runtime,GFLOPS
1,20.392846572,98.073606
1,20.574740394,97.206573
1,20.377122485,98.149285
1,20.397477593,98.051339
1,20.431184784,97.889575
2,10.560935356,189.377165
2,10.530647328,189.921848
2,10.511022684,190.276442
2,10.524108468,190.039851
2,10.532726991,189.884348
4,5.475585253,365.257759
4,5.497765284,363.784174
4,5.491680477,364.187248
4,5.480385071,364.937860
4,5.454694942,366.656618
8,2.688508072,743.907010
8,2.705679986,739.185717
8,2.696142808,741.800469
8,2.693730262,742.464837
8,2.699317106,740.928139
12,1.837342108,1088.528909
12,1.849018960,1081.654674
12,1.832973990,1091.122957
12,1.835525679,1089.606113
12,1.835409933,1089.674826
16,1.436822999,1391.959901
16,1.424134659,1404.361580
16,1.417897104,1410.539590
16,1.423278945,1405.205920
16,1.423682201,1404.807898
20,1.247991060,1602.575583
20,1.247147956,1603.658965
20,1.249037284,1601.233226
20,1.252456398,1596.861977
20,1.256202148,1592.100446
24,1.165941622,1715.351749
24,1.172597621,1705.614922
24,1.165739922,1715.648544
24,1.166561995,1714.439531
24,1.163158918,1719.455501
28,1.166202892,1714.967450
28,1.162476469,1720.464933
28,1.174094901,1703.439814
28,1.161956753,1721.234456
28,1.170520684,1708.641314
32,1.179110643,1696.193662
32,1.197357866,1670.344395
32,1.182145308,1691.839393
32,1.203376648,1661.990037
32,1.189966102,1680.720145
36,1.204709250,1660.151609
36,1.153666334,1733.603505
36,1.215728158,1645.104612
36,1.153673228,1733.593145
36,1.207965669,1655.676193
40,1.186484471,1685.652066
40,1.235336121,1618.992569
40,1.207681246,1656.066124
40,1.242085728,1610.194816
40,1.201023844,1665.245873
44,1.416606122,1411.825044
44,1.330132542,1503.609555
44,1.415448429,1412.979773
44,1.329587548,1504.225880
44,1.385360850,1443.667186
48,1.178879237,1696.526614
48,1.238240402,1615.195237
48,1.147506337,1742.909765
48,1.212978887,1648.833316
48,1.155489868,1730.867622
52,1.534246637,1303.571376
52,1.401181076,1427.367265
52,1.423296476,1405.188612
52,1.514580424,1320.497722
52,1.431297841,1397.333205
56,1.279079405,1563.624582
56,1.343125181,1489.064481
56,1.344522874,1487.516530
56,1.373141929,1456.513677
56,1.352806388,1478.408158
60,1.266975143,1578.562935
60,1.229600358,1626.544744
60,1.247831447,1602.780572
60,1.250854843,1598.906549
60,1.249408018,1600.758096
64,1.353709945,1477.421369
64,1.411743836,1416.687609
64,1.407693298,1420.764028
64,1.345174836,1486.795580
64,1.369161491,1460.748066
68,1.656857733,1207.104243
68,1.582895210,1263.507519
68,1.558469524,1283.310305
68,1.563276083,1279.364548
68,1.555556337,1285.713640
72,1.478621846,1352.610882
72,1.552853043,1287.951883
72,1.511147148,1323.497849
72,1.491463405,1340.964849
72,1.549308481,1290.898504
76,1.805975324,1107.434843
76,1.781061174,1122.926056
76,1.778222328,1124.718753
76,1.752539031,1141.201402
76,1.726192853,1158.619094
80,1.417679647,1410.755952
80,1.418212537,1410.225864
80,1.415391813,1413.036293
80,1.421609602,1406.856001
80,1.417747954,1410.687982
84,1.543051900,1296.132684
84,1.537998678,1300.391235
84,1.554265042,1286.781820
84,1.507550363,1326.655513
84,1.550287250,1290.083499
88,1.318397280,1516.993421
88,1.328291607,1505.693471
88,1.300735204,1537.591966
88,1.323988611,1510.587012
88,1.320673710,1514.378597
92,2.97837567,953.362659
92,2.95169210,954.576838
92,2.119994797,943.398542
92,2.67150399,967.515475
92,2.89400364,957.212430
96,1.315277184,1520.592028
96,1.329622584,1504.186244
96,1.312123846,1524.246363
96,1.326435122,1507.800847
96,1.313628781,1522.500138
100,1.467457868,1362.901139
100,1.486995972,1344.993556
100,1.476668611,1354.400023
100,1.479422736,1351.878642
100,1.470068725,1360.480613
104,1.274011708,1569.844286
104,1.284438673,1557.100422
104,1.274924482,1568.720366
104,1.276671690,1566.573470
104,1.259631523,1587.765917
108,1.372922178,1456.746808
108,1.381032688,1448.191645
108,1.367426304,1462.601673
108,1.362284366,1468.122258
108,1.364520158,1465.716712
112,1.733011997,1154.060101
112,1.717747408,1164.315539
112,1.717383745,1164.562088
112,1.712701899,1167.745538
112,1.700270111,1176.283690
116,2.543300572,786.379723
116,2.566787018,779.184243
116,2.580148201,775.149272
116,2.552045293,783.685151
116,2.586327295,773.297333
120,1.363212321,1467.122890
120,1.372917766,1456.751489
120,1.384557438,1444.504897
120,1.381830000,1447.356042
120,1.374563445,1455.007411
124,2.787227054,717.559051
124,2.755512921,725.817682
124,2.736588450,730.836966
124,2.744627716,728.696278
124,2.775343224,720.631590
128,1.804978011,1108.046740
128,1.835951204,1089.353571
128,1.842033448,1085.756614
128,1.807652939,1106.407075
128,1.806917831,1106.857194
