threads,runtime,GFLOPS
1,32.921941352,60.749759
1,32.653419635,61.249328
1,33.126559029,60.374517
1,33.85246884,60.449904
1,33.233261432,60.180672
2,18.233509099,109.688157
2,18.117947020,110.387783
2,18.58883054,110.748821
2,18.303092656,109.271151
2,18.98573606,110.505946
4,11.920461078,167.778745
4,11.546113075,173.218466
4,11.880677703,168.340565
4,11.566599809,172.911662
4,12.61614371,165.815283
8,4.824682413,414.535057
8,4.925924749,406.015135
8,4.800542753,416.619558
8,4.895213389,408.562373
8,4.789527563,417.577720
12,3.405383001,587.305451
12,3.346441214,597.649823
12,3.237293023,617.800114
12,3.358121433,595.571077
12,3.423976232,584.116204
16,2.749414461,727.427614
16,2.665851090,750.229451
16,2.761375838,724.276635
16,2.772027336,721.493607
16,2.724218761,734.155432
20,2.206127713,906.565829
20,2.126289876,940.605523
20,2.180578411,917.187839
20,2.175411083,919.366466
20,2.171649666,920.958860
24,1.934404102,1033.910132
24,1.890475688,1057.934790
24,1.936440353,1032.822930
24,1.897509969,1054.012908
24,1.894303631,1055.796952
28,1.733302154,1153.866910
28,1.764632386,1133.380536
28,1.746397738,1145.214493
28,1.752033592,1141.530624
28,1.747469076,1144.512385
32,1.713158071,1167.434596
32,1.658405244,1205.977856
32,1.686163751,1186.124419
32,1.654448139,1208.862311
32,1.695701353,1179.452972
36,1.616936125,1236.907240
36,1.647480833,1213.974670
36,1.600373274,1249.708448
36,1.616785754,1237.022280
36,1.609563872,1242.572622
40,1.585153394,1261.707547
40,1.590130484,1257.758417
40,1.561936866,1280.461486
40,1.579759131,1266.015787
40,1.609653940,1242.503094
44,1.646267577,1214.869337
44,1.593273893,1255.276954
44,1.651298258,1211.168237
44,1.597388445,1252.043613
44,1.652891568,1210.000728
48,1.534290718,1303.533924
48,1.634167883,1223.864464
48,1.545661655,1293.944243
48,1.611302243,1241.232059
48,1.528987597,1308.055084
52,1.699548892,1176.782857
52,1.674118322,1194.658689
52,1.698033200,1177.833272
52,1.701052214,1175.742863
52,1.710382754,1169.328909
56,1.617424925,1236.533436
56,1.677482737,1192.262642
56,1.625727175,1230.218717
56,1.692071503,1181.983147
56,1.602603042,1247.969677
60,1.681838611,1189.174744
60,1.668724501,1198.520186
60,1.685055196,1186.904740
60,1.656919567,1207.059196
60,1.660261299,1204.629658
64,1.614576390,1238.715004
64,1.666298629,1200.265046
64,1.603890446,1246.967962
64,1.682369212,1188.799691
64,1.629410757,1227.437582
68,1.663909426,1201.988503
68,1.734557868,1153.031580
68,1.669121536,1198.235094
68,1.742827328,1147.560615
68,1.623343182,1232.025380
72,1.585909546,1261.105972
72,1.532851981,1304.757423
72,1.601413889,1248.896374
72,1.531844109,1305.615884
72,1.595530951,1253.501224
76,1.489403198,1342.819730
76,1.467240239,1363.103292
76,1.510387295,1324.163681
76,1.480492576,1350.901742
76,1.498032521,1335.084500
80,1.497343068,1335.699241
80,1.509890864,1324.599047
80,1.500112926,1333.232962
80,1.486353184,1345.575212
80,1.504031917,1329.759015
84,1.479684852,1351.639166
84,1.492475802,1340.055227
84,1.498466505,1334.697835
84,1.492205808,1340.297692
84,1.508265143,1326.026799
88,1.526081376,1310.546103
88,1.558245614,1283.494708
88,1.518904517,1316.738464
88,1.552894352,1287.917621
88,1.531634427,1305.794624
92,1.526231178,1310.417471
92,1.513525294,1321.418286
92,1.567205104,1276.157151
92,1.533286077,1304.388026
92,1.526239453,1310.410366
96,1.452169589,1377.249610
96,1.446214913,1382.920327
96,1.452568035,1376.871824
96,1.447964978,1381.248877
96,1.465109661,1365.085531
100,1.461474810,1368.480651
100,1.443599794,1385.425523
100,1.479965869,1351.382516
100,1.451064925,1378.298080
100,1.477021534,1354.076399
104,1.442581606,1386.403370
104,1.480946069,1350.488071
104,1.445503439,1383.600997
104,1.441369090,1387.569647
104,1.456411268,1373.238483
108,1.402712852,1425.808566
108,1.394967334,1433.725329
108,1.428877298,1399.700312
108,1.400375825,1428.188037
108,1.414296567,1414.130563
112,1.424669280,1403.834580
112,1.457959162,1371.780536
112,1.424862474,1403.644237
112,1.439816247,1389.066142
112,1.399331877,1429.253512
116,1.532722605,1304.867556
116,1.490203439,1342.098634
116,1.546378746,1293.344212
116,1.503899812,1329.875823
116,1.509259909,1325.152804
120,1.313961695,1522.114387
120,1.330383042,1503.326438
120,1.318282743,1517.125223
120,1.331416712,1502.159303
120,1.323406239,1511.251754
124,1.582191861,1264.069200
124,1.594902830,1253.994891
124,1.623063327,1232.237810
124,1.636426182,1222.175508
124,1.595372843,1253.625451
128,1.290038801,1550.340965
128,1.289077330,1551.497302
128,1.260017095,1587.280052
128,1.268717583,1576.394957
128,1.245826657,1605.359774
