threads,runtime,GFLOPS
1,20.135240141,99.328341
1,20.38998609,99.805386
1,20.9905521,99.950497
1,20.126159110,99.373159
1,21.128330480,94.659633
2,10.592992466,188.804061
2,10.514565425,190.212331
2,10.268236012,194.775422
2,10.581096412,189.016329
2,10.424539415,191.854999
4,5.302914030,377.151126
4,5.182191298,385.937123
4,5.135262852,389.463998
4,5.362528681,372.958378
4,5.259147711,380.289756
8,2.730082519,732.578589
8,2.699385447,740.909381
8,2.735274072,731.188154
8,2.738444040,730.341745
8,2.711330418,737.645249
12,1.804596453,1108.281021
12,1.825002708,1095.888785
12,1.848762195,1081.804899
12,1.795931641,1113.628133
12,1.815786018,1101.451372
16,1.398798541,1429.798460
16,1.417417150,1411.017215
16,1.415360642,1413.067412
16,1.394588410,1434.114887
16,1.373065754,1456.594481
20,1.231670388,1623.811061
20,1.203922787,1661.236104
20,1.209375217,1653.746473
20,1.211643626,1650.650370
20,1.222817525,1635.567007
24,1.221822797,1636.898579
24,1.217216084,1643.093635
24,1.220407862,1638.796391
24,1.220969217,1638.042935
24,1.214590725,1646.645210
28,1.227192985,1629.735522
28,1.231953858,1623.437426
28,1.223972011,1634.024293
28,1.241051821,1611.536252
28,1.236996689,1616.819202
32,0.925091564,2161.948155
32,0.937311834,2133.761601
32,0.907503557,2203.848111
32,0.900875510,2220.062570
32,0.927215158,2156.996661
36,0.949530544,2106.304018
36,0.964086848,2074.501902
36,0.981403556,2037.897650
36,0.941979113,2123.189328
36,0.934943228,2139.167321
40,0.982453156,2035.720470
40,0.993255698,2013.580193
40,0.999283147,2001.434734
40,0.985267185,2029.906233
40,0.993603658,2012.875037
44,1.21969600,1957.005375
44,1.1213129,1997.576682
44,1.1206597,1997.589714
44,1.4360235,1991.317388
44,0.996882522,2006.254454
48,0.974350680,2052.649052
48,0.977487146,2046.062711
48,0.975241974,2050.773094
48,0.972672210,2056.191160
48,0.974990451,2051.302141
52,1.27122790,1947.186860
52,1.50847942,1903.224929
52,1.54247922,1897.086974
52,1.67254580,1873.967128
52,1.50276619,1904.260234
56,1.201185438,1665.021850
56,1.175931784,1700.778929
56,1.180545657,1694.131852
56,1.200323197,1666.217903
56,1.207966614,1655.674898
60,1.100725289,1816.983783
60,1.106278520,1807.862996
60,1.111417985,1799.503002
60,1.145781098,1745.534119
60,1.115399657,1793.079268
64,1.128738799,1771.889122
64,1.99609425,1818.827626
64,1.110146589,1801.563883
64,1.153081077,1734.483411
64,1.95235378,1826.091487
68,1.254097931,1594.771788
68,1.197852041,1669.655293
68,1.205411619,1659.184272
68,1.256418576,1591.826194
68,1.268350968,1576.850612
72,1.230895481,1624.833327
72,1.193070397,1676.347016
72,1.202967762,1662.554944
72,1.247455397,1603.263736
72,1.186712047,1685.328808
76,1.199133207,1667.871416
76,1.182225810,1691.724189
76,1.194888432,1673.796437
76,1.189308070,1681.650071
76,1.203826924,1661.368391
80,1.233812494,1620.991852
80,1.254819465,1593.854778
80,1.253844525,1595.094097
80,1.214507929,1646.757466
80,1.213583293,1648.012140
84,1.300804317,1537.510273
84,1.318212215,1517.206393
84,1.317112972,1518.472631
84,1.310474235,1526.165068
84,1.331554112,1502.004299
88,1.362724956,1467.647592
88,1.370117558,1459.728757
88,1.361725550,1468.724737
88,1.366899430,1463.165436
88,1.366619093,1463.465577
92,1.368433819,1461.524827
92,1.384059601,1445.024476
92,1.362372554,1468.027225
92,1.369818016,1460.047960
92,1.379597909,1449.697761
96,1.438876727,1389.973138
96,1.420186644,1408.265603
96,1.429825854,1398.771742
96,1.433105178,1395.570982
96,1.410901000,1417.533902
100,1.480363721,1351.019328
100,1.393010929,1435.738915
100,1.390871976,1437.946867
100,1.403779626,1424.725052
100,1.397740575,1430.880691
104,1.513165503,1321.732485
104,1.559956020,1282.087427
104,1.521122552,1314.818453
104,1.524564115,1311.850371
104,1.568132381,1275.402526
108,1.487813842,1344.254196
108,1.490260092,1342.047614
108,1.490788994,1341.571482
108,1.491802546,1340.659999
108,1.510098491,1324.416925
112,1.584852729,1261.946907
112,1.573260396,1271.245374
112,1.567463508,1275.946770
112,1.573456644,1271.086819
112,1.553717954,1287.234916
116,1.620628054,1234.089460
116,1.611380209,1241.172002
116,1.617411519,1236.543685
116,1.670984280,1196.899351
116,1.613133771,1239.822782
120,1.625531064,1230.367136
120,1.625428643,1230.444664
120,1.642723668,1217.490220
120,1.633165542,1224.615600
120,1.618440750,1235.757318
124,1.683623717,1187.913891
124,1.704178931,1173.585686
124,1.688185309,1184.704066
124,1.663321791,1202.413153
124,1.695403953,1179.659866
128,1.681731909,1189.250195
128,1.691414139,1182.442522
128,1.697119445,1178.467435
128,1.699907697,1176.534469
128,1.724206033,1159.954183
