threads,runtime,GFLOPS
1,42.80158607,47.528338
1,41.936823286,47.690784
1,42.92312627,47.514614
1,42.174239531,47.422313
1,42.31783700,47.583039
2,21.762822291,91.899845
2,21.890012014,91.365870
2,21.732612361,92.027593
2,21.812210357,91.691762
2,21.595215537,92.613107
4,12.200459503,163.928252
4,12.53640836,165.924970
4,12.277452164,162.900248
4,12.114522219,165.091117
4,12.169398592,164.346659
8,5.930084289,337.263334
8,5.954601233,335.874716
8,5.959180738,335.616604
8,5.982078432,334.331959
8,5.923927190,337.613873
12,4.203791031,475.761042
12,4.189608998,477.371516
12,4.215812956,474.404349
12,4.226690322,473.183472
12,4.195219118,476.733144
16,3.112178991,642.636560
16,3.114629979,642.130851
16,3.116818232,641.680025
16,3.129281689,639.124310
16,3.143068693,636.320805
20,2.635068593,758.993525
20,2.604816647,767.808361
20,2.594291275,770.923458
20,2.604128329,768.011306
20,2.589442403,772.367054
24,2.588659537,772.600634
24,2.591778974,771.670740
24,2.581071793,774.871898
24,2.586110685,773.362104
24,2.584887746,773.727990
28,2.282242747,876.330970
28,2.275273275,879.015291
28,2.284265886,875.554817
28,2.298272271,870.218914
28,2.284080900,875.625728
32,2.332555723,857.428605
32,2.314962355,863.944934
32,2.324422971,860.428599
32,2.319906699,862.103636
32,2.323700089,860.696270
36,2.217663735,901.849982
36,2.241631760,892.207202
36,2.212328798,904.024755
36,2.223301356,899.563163
36,2.261551072,884.348810
40,2.290918126,873.012430
40,2.278310960,877.843295
40,2.282153553,876.365220
40,2.289695605,873.478551
40,2.275990607,878.738249
44,2.411344646,829.412752
44,2.391643924,836.244886
44,2.397393672,834.239292
44,2.399211127,833.607338
44,2.411576409,829.333042
48,2.179036028,917.837050
48,2.68138672,967.053142
48,2.196360412,910.597363
48,2.190826274,912.897578
48,2.182282264,916.471729
52,2.517748108,794.360641
52,2.533979707,789.272303
52,2.518339285,794.174165
52,2.521217090,793.267667
52,2.544301776,786.070276
56,2.389406686,837.027875
56,2.343930664,853.267561
56,2.406451516,831.099229
56,2.274073678,879.478981
56,2.385162834,838.517174
60,2.170214920,921.567713
60,2.263744947,883.491757
60,2.273536994,879.686588
60,2.304874587,867.726171
60,2.237414510,893.888902
64,2.337008828,855.794799
64,2.398800625,833.749991
64,2.427191101,823.997748
64,2.337464150,855.628096
64,2.413678042,828.610927
68,2.515662124,795.019324
68,2.704518044,739.503293
68,2.500665435,799.787117
68,2.727537687,733.262096
68,2.509172589,797.075502
72,2.532224975,789.819238
72,2.539438886,787.575559
72,2.385098344,838.539847
72,2.521622526,793.140123
72,2.387807048,837.588616
76,2.786178981,717.828974
76,2.496616656,801.084137
76,2.785720456,717.947128
76,2.739635168,730.024210
76,2.773200265,721.188450
80,2.295275824,871.354971
80,2.324900645,860.251815
80,2.456154393,814.281059
80,2.455490017,814.501377
80,2.306129947,867.253817
84,2.505392414,798.278142
84,2.523131117,792.665901
84,2.373233877,842.731945
84,2.369240752,844.152287
84,2.367837221,844.652657
88,2.324629314,860.352224
88,2.350815625,850.768550
88,2.214926394,902.964543
88,2.254702298,887.035065
88,2.246782796,890.161703
92,3.121699011,640.676757
92,2.812019321,711.232667
92,2.988532590,669.224758
92,3.89412711,647.372231
92,3.135672255,637.821761
96,2.383203231,839.206650
96,2.373674148,842.575634
96,2.367690294,844.705072
96,2.364402120,845.879803
96,2.389871787,836.864978
100,2.464484812,811.528637
100,2.470370199,809.595259
100,2.463561884,811.832661
100,2.478023016,807.095006
100,2.479493551,806.616335
104,2.392707823,835.873056
104,2.397460668,834.215980
104,2.411475995,829.367576
104,2.407734051,830.656525
104,2.398974825,833.689449
108,2.460578941,812.816840
108,2.465337404,811.247984
108,2.474693878,808.180768
108,2.559511536,781.399096
108,2.467176727,810.643185
112,2.755591477,725.796990
112,2.756360633,725.594458
112,2.771061939,721.744964
112,2.766720212,722.877576
112,2.727027549,733.399265
116,3.903024869,512.423074
116,3.951835870,506.093893
116,3.853912125,518.953192
116,3.860027082,518.131080
116,3.908568738,511.696259
120,2.564948599,779.742721
120,2.554136789,783.043417
120,2.604867884,767.793258
120,2.558645106,781.663700
120,2.553273152,783.308280
124,4.270373895,468.343065
124,4.150702407,481.846156
124,4.200444583,476.140075
124,4.198098940,476.406113
124,4.237524412,471.973682
128,3.94240817,646.362102
128,3.91253685,646.986693
128,3.99080228,645.352767
128,3.60664667,653.452834
128,3.55274899,654.605581
