threads,runtime,GFLOPS
1,43.821981304,45.639196
1,43.649681238,45.819349
1,43.914256179,45.543297
1,43.414819236,46.067219
1,43.934966864,45.521828
2,22.790566950,87.755605
2,22.557748740,88.661330
2,22.657562937,88.270747
2,22.644849114,88.320306
2,22.721139879,88.023753
4,11.538419583,173.333964
4,11.714298411,170.731522
4,11.402610167,175.398437
4,11.594281143,172.498836
4,11.554961288,173.085824
8,6.49574550,330.601761
8,5.964703626,335.305847
8,6.109397156,327.364542
8,6.37464385,331.264894
8,5.949100273,336.185290
12,4.344156108,460.388612
12,4.370466347,457.617069
12,4.404206489,454.111315
12,4.349042791,459.871309
12,4.387481872,455.842339
16,3.958468211,505.245942
16,3.973697493,503.309576
16,3.948861704,506.475068
16,3.998732858,500.158443
16,3.924048497,509.677697
20,3.604203055,554.907692
20,3.744873021,534.063502
20,3.615114947,553.232755
20,3.767935206,530.794690
20,3.606230880,554.595661
24,3.653100516,547.480145
24,3.408398934,586.785772
24,3.607403092,554.415448
24,3.414924166,585.664543
24,3.642353654,549.095500
28,3.586691573,557.616946
28,3.216714903,621.752334
28,3.557200773,562.239842
28,3.203477678,624.321503
28,3.542017315,564.649978
32,3.511200382,569.605771
32,3.48346455,656.093403
32,3.502740682,570.981463
32,3.77235090,649.934094
32,3.508800965,569.995283
36,2.984586230,670.109639
36,3.434602556,582.309006
36,3.139553376,637.033285
36,3.11002124,664.230684
36,2.994082652,667.984232
40,2.969181941,673.586206
40,2.983697045,670.309341
40,2.994608784,667.866872
40,3.494435629,572.338487
40,2.971229561,673.122005
44,3.373856,666.583598
44,2.940264804,680.210843
44,2.934268801,681.600813
44,3.451151133,579.516782
44,3.444058711,580.710193
48,2.957949379,676.144093
48,3.464196076,577.334526
48,2.927493491,683.178291
48,3.424922795,583.954769
48,2.987771481,669.395237
52,3.566320017,560.802169
52,2.947882330,678.453132
52,2.952252799,677.448761
52,3.526101090,567.198713
52,2.947382373,678.568216
56,3.533664821,565.984637
56,3.544612671,564.236543
56,3.641339794,549.248385
56,2.929419585,682.729101
56,3.525897939,567.231393
60,3.245909099,616.160200
60,3.525438623,567.305296
60,3.136614547,637.630149
60,3.490668670,572.956126
60,2.912862110,686.609913
64,3.482358950,574.323333
64,2.884565775,693.345257
64,2.832140201,706.179729
64,3.501621366,571.163981
64,2.844315377,703.156906
68,3.634905323,550.220658
68,3.475843314,575.399930
68,2.837776125,704.777231
68,3.725167136,536.888662
68,2.850312959,701.677335
72,3.644409322,548.785777
72,2.911246556,686.990937
72,3.684437191,542.823747
72,2.886323013,692.923138
72,3.658703010,546.641800
76,2.948654864,678.275381
76,2.945327569,679.041619
76,3.643326866,548.948824
76,3.636852660,549.926045
76,2.945837573,678.924058
80,3.575782669,559.318109
80,3.51134903,655.493796
80,3.76520060,650.085148
80,3.685824389,542.619449
80,3.671867844,544.681913
84,3.537316166,565.400407
84,3.6275898,665.274934
84,3.8014175,664.890484
84,3.6295856,665.270518
84,2.990518121,668.780432
88,3.123787819,640.248351
88,3.580010100,558.657642
88,3.575687769,559.332953
88,3.129384906,639.103230
88,3.125652531,639.866390
92,3.213291175,622.414805
92,3.216190308,621.853749
92,3.236321735,617.985529
92,3.218945187,621.321546
92,3.231914138,618.828321
96,3.621173993,552.307071
96,3.631498269,550.736873
96,3.632632883,550.564856
96,3.625099102,551.709055
96,3.615142013,553.228613
100,3.653358194,547.441530
100,3.620200544,552.455582
100,3.624376251,551.819089
100,3.635270428,550.165397
100,3.633172710,550.483051
104,3.651822453,547.671752
104,3.674215751,544.333849
104,3.667042015,545.398714
104,3.657704344,546.791050
104,3.648507250,548.169392
108,3.711631875,538.846542
108,3.680237608,543.443172
108,3.698797329,540.716298
108,3.675173074,544.192058
108,3.691247490,541.822244
112,3.712021441,538.789991
112,3.715479642,538.288510
112,3.705665949,539.714056
112,3.713638069,538.555444
112,3.711568702,538.855713
116,3.720402735,537.576209
116,3.741845768,534.495574
116,3.730950337,536.056452
116,3.724317896,537.011087
116,3.731892369,535.921137
120,3.731097722,536.035277
120,3.736289240,535.290464
120,3.746363455,533.851033
120,3.751516039,533.117806
120,3.743011891,534.329053
124,3.800262172,526.279480
124,3.781269643,528.922872
124,3.786524028,528.188910
124,3.791704608,527.467249
124,3.781580024,528.879460
128,3.817946663,523.841786
128,3.836066021,521.367461
128,3.824728712,522.912905
128,3.824416278,522.955624
128,3.823859860,523.031720
