threads,runtime,GFLOPS
1,42.702423718,46.835749
1,43.268313250,46.223202
1,42.475750637,47.085689
1,43.472442633,46.006157
1,43.179857966,46.317892
2,22.356621001,89.458957
2,21.998920382,90.913552
2,22.308479366,89.652009
2,21.963484022,91.060234
2,22.268051618,89.814773
4,10.947213154,182.694899
4,11.160774460,179.199034
4,11.138073918,179.564260
4,11.30298542,181.318755
4,11.7777604,181.689717
8,5.801212979,344.755486
8,5.764573648,346.946734
8,5.833578481,342.842735
8,5.777734970,346.156411
8,5.741600614,348.334922
12,4.44706299,494.473480
12,4.55495439,493.157995
12,4.83123891,489.821042
12,4.99407136,487.875425
12,4.70648781,491.322172
16,3.200575487,624.887620
16,3.251055412,615.184839
16,3.258966988,613.691396
16,3.206791845,623.676277
16,3.221518799,620.825184
20,2.642319978,756.910600
20,2.646318065,755.767051
20,2.638154730,758.105648
20,2.671168804,748.735908
20,2.647834693,755.334162
24,2.353755551,849.705909
24,2.345896074,852.552686
24,2.326886140,859.517776
24,2.328271875,859.006210
24,2.333967761,856.909865
28,2.255771928,886.614456
28,2.217902393,901.752938
28,2.222624466,899.837121
28,2.247612923,889.832933
28,2.204291999,907.320809
32,2.125177378,941.097915
32,2.174132941,919.906949
32,2.220579386,900.665841
32,2.201055229,908.655073
32,2.179466368,917.655821
36,2.112560756,946.718334
36,2.188358026,913.927235
36,2.152451415,929.173121
36,2.259603583,885.111006
36,2.260562017,884.735736
40,2.124868439,941.234743
40,2.269031175,881.433460
40,2.129164212,939.335721
40,2.102014680,951.468141
40,2.99461538,952.625215
44,2.256658079,886.266297
44,2.93808413,955.197232
44,2.98579307,953.025694
44,2.243470155,891.476089
44,2.94498186,954.882660
48,2.229891651,896.904564
48,2.241710922,892.175695
48,2.233851926,895.314491
48,2.57400675,972.100391
48,2.34856445,982.870317
52,2.112896765,946.567780
52,2.112757635,946.630114
52,2.135819966,936.408514
52,2.140550583,934.339051
52,2.105280726,949.992072
56,2.180140500,917.372068
56,2.221085122,900.460761
56,2.185663671,915.053870
56,2.164662329,923.931633
56,2.222621579,899.838290
60,2.285890864,874.932409
60,2.475540606,807.904340
60,2.496825749,801.017052
60,2.468434812,810.230025
60,2.424928323,824.766646
64,2.506160607,798.033452
64,2.452663752,815.439947
64,2.495656401,801.392371
64,2.234565332,895.028653
64,2.526091115,791.737079
68,2.256957819,886.148595
68,2.322376277,861.186889
68,2.262675466,883.909350
68,2.727142939,733.368234
68,2.514714574,795.318889
72,2.555071958,782.756820
72,2.518255444,794.200606
72,2.529315052,790.727908
72,2.526195842,791.704256
72,2.513892075,795.579102
76,2.536935269,788.352791
76,2.542199656,786.720270
76,2.522678525,792.808113
76,2.519662929,793.756965
76,2.511181790,796.437760
80,2.646758819,755.641196
80,2.614965891,764.828332
80,2.575323387,776.601498
80,2.633453156,759.459114
80,2.537402995,788.207472
84,2.807679471,712.332024
84,2.780297332,719.347523
84,2.695386728,742.008551
84,2.768231721,722.482871
84,2.717042906,736.094375
88,2.806004566,712.757215
88,2.809861657,711.778815
88,2.853043640,701.005751
88,2.774257883,720.913514
88,2.808902071,712.021975
92,2.872414299,696.278389
92,2.908206576,687.709056
92,2.837239238,704.910595
92,2.887936403,692.536026
92,2.869185092,697.062035
96,2.861598036,698.910181
96,2.853809273,700.817682
96,2.857208799,699.983845
96,2.890955114,691.812886
96,2.881443043,694.096663
100,2.945813820,678.929533
100,2.986270710,669.731647
100,2.951721852,677.570618
100,2.928718300,682.892581
100,2.964292129,674.697335
104,2.954099473,677.025272
104,2.955504774,676.703356
104,2.993330789,668.152016
104,2.962501034,675.105250
104,2.988464877,669.239922
108,3.105512162,644.016154
108,3.117380936,641.564198
108,3.40889798,657.702230
108,3.116135093,641.820698
108,3.94394327,646.330037
112,3.145309498,635.867472
112,3.98148718,645.546803
112,3.102218576,644.699898
112,3.85721770,648.146576
112,3.88790634,647.502611
116,3.168391557,631.235112
116,3.143798900,636.173007
116,3.136210812,637.712233
116,3.166107070,631.690576
116,3.129371957,639.105874
120,3.237948123,617.675121
120,3.205414506,623.944266
120,3.216219659,621.848074
120,3.211165264,622.826867
120,3.233525682,618.519906
124,3.290030628,607.897076
124,3.314936844,603.329745
124,2.666884882,749.938632
124,2.645247299,756.072977
124,3.303270268,605.460600
128,3.345186951,597.873909
128,3.360595501,595.132618
128,3.345799628,597.764428
128,3.328401755,600.888999
128,3.299858652,606.086566
