threads,runtime,GFLOPS
1,20.650819683,96.848456
1,20.576670939,97.197453
1,20.560017172,97.276183
1,20.614371679,97.019692
1,20.584133302,97.162216
2,10.646625862,187.852943
2,10.620910671,188.307770
2,10.658973837,187.635323
2,10.595948616,188.751387
2,10.658196600,187.649006
4,5.577011057,358.615032
4,5.560024880,359.710621
4,5.573781057,358.822849
4,5.562204848,359.569641
4,5.535521409,361.302911
8,2.756047930,725.676785
8,2.751652632,726.835930
8,2.768870576,722.316174
8,2.770913439,721.783644
8,2.764369455,723.492295
12,1.934981793,1033.601457
12,1.935474405,1033.338387
12,1.932454020,1034.953473
12,1.934294696,1033.968611
12,1.937937319,1032.025123
16,1.515843881,1319.397086
16,1.519264035,1316.426871
16,1.524421652,1311.972968
16,1.515963514,1319.292966
16,1.517183278,1318.232299
20,1.306956343,1530.272997
20,1.298907911,1539.755038
20,1.307108690,1530.094640
20,1.304549739,1533.096010
20,1.303276683,1534.593556
24,1.192739981,1676.811402
24,1.198567764,1668.658260
24,1.199846810,1666.879458
24,1.198321173,1669.001638
24,1.195812275,1672.503320
28,1.180715373,1693.888337
28,1.174599842,1702.707534
28,1.170321913,1708.931515
28,1.176026323,1700.642206
28,1.182528819,1691.290705
32,1.197857453,1669.647749
32,1.207010244,1656.986765
32,1.192923774,1676.553057
32,1.198540894,1668.695670
32,1.201350697,1664.792808
36,1.206542608,1657.628986
36,1.179796125,1695.208145
36,1.190736509,1679.632719
36,1.178559568,1696.986775
36,1.208307072,1655.208387
40,1.193262389,1676.077297
40,1.252375894,1596.964625
40,1.191613862,1678.396051
40,1.255742813,1592.682816
40,1.201948707,1663.964517
44,1.357474205,1473.324497
44,1.312170278,1524.192426
44,1.395674349,1432.999038
44,1.321893739,1512.980916
44,1.387939665,1440.984828
48,1.167775120,1712.658513
48,1.238102238,1615.375482
48,1.154138574,1732.894165
48,1.211673276,1650.609978
48,1.151143106,1737.403447
52,1.414048025,1414.379119
52,1.405049434,1423.437462
52,1.419011742,1409.431607
52,1.398913376,1429.681090
52,1.411475167,1416.957270
56,1.258807360,1588.805455
56,1.301459151,1536.736669
56,1.251746777,1597.767246
56,1.282727994,1559.177011
56,1.260710203,1586.407404
60,1.232725359,1622.421398
60,1.185768905,1686.669292
60,1.254265084,1594.559257
60,1.195061288,1673.554336
60,1.262358028,1584.336579
64,1.347541725,1484.184098
64,1.337098848,1495.775726
64,1.331293331,1502.298519
64,1.366067136,1464.056888
64,1.332264799,1501.203065
68,1.598107239,1251.480471
68,1.605378123,1245.812417
68,1.608666090,1243.266090
68,1.654235363,1209.017800
68,1.591362216,1256.784898
72,1.476797791,1354.281549
72,1.528914437,1308.117676
72,1.506138656,1327.898990
72,1.507154889,1327.003624
72,1.513898096,1321.092883
76,1.797470440,1112.674765
76,1.742710521,1147.637531
76,1.768669143,1130.793743
76,1.735009442,1152.731479
76,1.764836469,1133.249474
80,1.406285072,1422.186753
80,1.429885863,1398.713038
80,1.415315100,1413.112882
80,1.440140937,1388.752968
80,1.412744716,1415.683936
84,1.519119903,1316.551772
84,1.500388225,1332.988334
84,1.499977278,1333.353531
84,1.515995402,1319.265215
84,1.513442141,1321.490889
88,1.329035298,1504.850927
88,1.343626411,1488.508996
88,1.327238824,1506.887806
88,1.330912696,1502.728170
88,1.325496543,1508.868515
92,2.99705927,952.514337
92,2.54523781,973.461597
92,2.51987769,974.664679
92,2.86515805,958.535754
92,2.84720906,959.361032
96,1.307107773,1530.095713
96,1.328086002,1505.926572
96,1.313259370,1522.928407
96,1.324159006,1510.392627
96,1.325722134,1508.611759
100,1.495047466,1337.750169
100,1.452958320,1376.501977
100,1.490275459,1342.033775
100,1.451241886,1378.130014
100,1.478736567,1352.505946
104,1.277780301,1565.214300
104,1.289806258,1550.620481
104,1.285671829,1555.606925
104,1.297208144,1541.772621
104,1.279931548,1562.583564
108,1.378443021,1450.912348
108,1.370414836,1459.412105
108,1.392699837,1436.059621
108,1.374486642,1455.088714
108,1.383460054,1445.650703
112,1.722724297,1160.951873
112,1.728613996,1156.996301
112,1.715548510,1165.807897
112,1.706166741,1172.218372
112,1.687439353,1185.227781
116,2.543382592,786.354364
116,2.549094899,784.592210
116,2.533072675,789.554923
116,2.538090621,787.993929
116,2.521954676,793.035664
120,1.376763686,1452.682127
120,1.383427224,1445.685010
120,1.394723570,1433.975910
120,1.375242899,1454.288549
120,1.381651249,1447.543294
124,2.784774286,718.191061
124,2.797693311,714.874641
124,2.782247264,718.843370
124,2.716535550,736.231852
124,2.834090656,705.693728
128,1.797106516,1112.900088
128,1.858134378,1076.348419
128,1.828581547,1093.743948
128,1.840305981,1086.775797
128,1.825283561,1095.720162
