threads,runtime,GFLOPS
1,32.667904399,61.222170
1,33.205552007,60.230891
1,34.474628200,58.013679
1,32.757361165,61.054979
1,34.389705376,58.156939
2,17.874286258,111.892580
2,17.914285563,111.642744
2,17.813254006,112.275949
2,17.888083706,111.806275
2,17.838286404,112.118393
4,11.909504309,167.933102
4,11.413136886,175.236661
4,11.713558618,170.742305
4,11.461142403,174.502674
4,11.799430065,169.499712
8,4.741397577,421.816557
8,4.545094992,440.034808
8,4.516575977,442.813319
8,4.726992852,423.101973
8,4.633810846,431.610194
12,3.322835595,601.895563
12,3.259098476,613.666637
12,3.356576927,595.845125
12,3.300826560,605.908842
12,3.334507209,599.788777
16,2.705678240,739.186194
16,2.772788625,721.295515
16,2.710845158,737.777292
16,2.751264605,726.938440
16,2.706161784,739.054114
20,2.165139257,923.728113
20,2.168975439,922.094351
20,2.172659517,920.530798
20,2.152261029,929.255315
20,2.196633022,910.484355
24,1.909345927,1047.479125
24,1.899235672,1053.055200
24,1.925315613,1038.790724
24,1.906560921,1049.009228
24,1.911618232,1046.234006
28,1.724423426,1159.807951
28,1.771622187,1128.908869
28,1.759530064,1136.667137
28,1.753215770,1140.760900
28,1.724299622,1159.891225
32,1.700005046,1176.467096
32,1.649889599,1212.202320
32,1.696063976,1179.200802
32,1.684221198,1187.492476
32,1.692042415,1182.003467
36,1.632275415,1225.283418
36,1.648368654,1213.320816
36,1.664027298,1201.903360
36,1.650680271,1211.621678
36,1.654628205,1208.730755
40,1.606401994,1245.018375
40,1.623991518,1231.533526
40,1.622938096,1232.332894
40,1.653250557,1209.737986
40,1.585176397,1261.689238
44,1.598596413,1251.097515
44,1.605596393,1245.643057
44,1.632225188,1225.321123
44,1.591667781,1256.543623
44,1.603300252,1247.426985
48,1.576172494,1268.896652
48,1.579149497,1266.504535
48,1.570623403,1273.379727
48,1.591315077,1256.822127
48,1.589391816,1258.342959
52,1.634542308,1223.584113
52,1.602842293,1247.783396
52,1.630983808,1226.253743
52,1.620132538,1234.466905
52,1.625781201,1230.177836
56,1.618147467,1235.981294
56,1.657056689,1206.959311
56,1.634315716,1223.753758
56,1.637049294,1221.710310
56,1.621093739,1233.734948
60,1.617905504,1236.166139
60,1.565411811,1277.619081
60,1.628458214,1228.155554
60,1.592158308,1256.156495
60,1.621901055,1233.120845
64,1.579896878,1265.905407
64,1.649895580,1212.197926
64,1.615767323,1237.801985
64,1.632670683,1224.986778
64,1.604946811,1246.147216
68,1.711153132,1168.802466
68,1.693081922,1181.277748
68,1.766638058,1132.093804
68,1.731951011,1154.767073
68,1.771103377,1129.239561
72,1.526396078,1310.275903
72,1.561439643,1280.869234
72,1.529557629,1307.567601
72,1.534456013,1303.393504
72,1.548651915,1291.445793
76,1.503230528,1330.467924
76,1.506008409,1328.013833
76,1.500580722,1332.817336
76,1.495112539,1337.691945
76,1.500584817,1332.813699
80,1.484401098,1347.344732
80,1.483045339,1348.576438
80,1.484493249,1347.261095
80,1.503279860,1330.424263
80,1.476906603,1354.181772
84,1.515848629,1319.392954
84,1.486733579,1345.230933
84,1.488914891,1343.260123
84,1.468957417,1361.509855
84,1.493899554,1338.778096
88,1.526351095,1310.314518
88,1.537989341,1300.399129
88,1.528371459,1308.582405
88,1.535463511,1302.538280
88,1.510738649,1323.855719
92,1.560166120,1281.914775
92,1.554556223,1286.540796
92,1.544530120,1294.892197
92,1.548166627,1291.850609
92,1.520387038,1315.454519
96,1.450947382,1378.409738
96,1.459621044,1370.218666
96,1.438547740,1390.291017
96,1.448243728,1380.983022
96,1.440466073,1388.439504
100,1.450128508,1379.188113
100,1.453795765,1375.709056
100,1.460261002,1369.618169
100,1.450400115,1378.929841
100,1.465886036,1364.362543
104,1.497739767,1335.345461
104,1.478384241,1352.828273
104,1.459471586,1370.358984
104,1.460792387,1369.119950
104,1.454492201,1375.050343
108,1.390345897,1438.490957
108,1.367654035,1462.358132
108,1.402897099,1425.621310
108,1.390062876,1438.783838
108,1.418990297,1409.452908
112,1.451878605,1377.525637
112,1.397845741,1430.773040
112,1.469373286,1361.124514
112,1.459532348,1370.301935
112,1.397456115,1431.171955
116,1.488993317,1343.189373
116,1.478927128,1352.331675
116,1.509579419,1324.872329
116,1.491444430,1340.981910
116,1.470179791,1360.377834
120,1.306271607,1531.075153
120,1.301831922,1536.296634
120,1.295730919,1543.530351
120,1.316832032,1518.796590
120,1.320775210,1514.262219
124,1.571411117,1272.741410
124,1.621010637,1233.798196
124,1.663088015,1202.582174
124,1.625177742,1230.634624
124,1.626521520,1229.617915
128,1.265761337,1580.076703
128,1.248455155,1601.979848
128,1.287946220,1552.859870
128,1.228044585,1628.605365
128,1.272143086,1572.150194
