threads,runtime,GFLOPS
1,21.41897724,95.048461
1,20.220065184,98.911649
1,20.170871688,99.152879
1,20.200587541,99.007021
1,20.214964483,98.936607
2,10.377434597,192.725859
2,10.561332633,189.370042
2,10.724000887,186.497560
2,10.546574396,189.635035
2,10.708295002,186.771097
4,5.269999661,379.506666
4,5.289863669,378.081577
4,5.244508471,381.351276
4,5.245167454,381.303365
4,5.395039494,370.710910
8,2.786037443,717.865442
8,2.811878320,711.268331
8,2.812153975,711.198611
8,2.834641329,705.556636
8,2.796730407,715.120769
12,1.965367858,1017.621201
12,1.946367288,1027.555288
12,1.986698936,1006.695058
12,1.967239198,1016.653187
12,1.977100005,1011.582618
16,1.517228491,1318.193016
16,1.526692244,1310.021720
16,1.519073907,1316.591636
16,1.514739487,1320.359057
16,1.544270163,1295.110174
20,1.309347743,1527.478098
20,1.292080425,1547.891262
20,1.315040011,1520.866273
20,1.296005577,1543.203236
20,1.293611790,1546.058884
24,1.236157777,1617.916448
24,1.238827306,1614.430026
24,1.228529808,1627.962128
24,1.228490487,1628.014235
24,1.223464476,1634.702142
28,1.230563190,1625.272084
28,1.232136736,1623.196470
28,1.235166367,1619.215074
28,1.233639357,1621.219353
28,1.228640560,1627.815380
32,0.958275495,2087.082484
32,0.930139212,2150.215768
32,0.930885310,2148.492385
32,0.929984371,2150.573776
32,0.924035021,2164.420130
36,0.952607641,2099.500271
36,0.956273595,2091.451662
36,0.952870652,2098.920767
36,0.969909091,2062.048927
36,0.957323524,2089.157897
40,0.980860682,2039.025559
40,0.935390216,2138.145093
40,0.985953222,2028.493802
40,0.986744700,2026.866727
40,0.981777718,2037.120993
44,0.986286183,2027.809002
44,0.987937745,2024.419059
44,0.987502152,2025.312042
44,0.985445885,2029.538131
44,1.4503738,1991.032909
48,0.975247268,2050.761961
48,0.971271523,2059.156428
48,0.977614361,2045.796461
48,0.972232582,2057.120937
48,0.981563717,2037.565127
52,1.29383933,1942.909672
52,1.64979036,1877.971239
52,1.44014794,1915.681666
52,1.30138967,1941.485629
52,1.45628035,1912.726068
56,1.152902958,1734.751382
56,1.157474182,1727.900312
56,1.166661775,1714.292902
56,1.164128915,1718.022784
56,1.169737950,1709.784657
60,1.101792595,1815.223672
60,1.102140488,1814.650693
60,1.98268625,1821.048107
60,1.129114332,1771.299808
60,1.110319893,1801.282687
64,1.102187262,1814.573684
64,1.95445348,1825.741470
64,1.121049008,1784.043325
64,1.85287828,1842.829108
64,1.94033857,1828.096989
68,1.276619691,1566.637280
68,1.152888887,1734.772555
68,1.150688916,1738.089220
68,1.176692624,1699.679219
68,1.154037246,1733.046318
72,1.171143860,1707.732131
72,1.207252405,1656.654393
72,1.175437926,1701.493508
72,1.160014750,1724.116008
72,1.175279117,1701.723421
76,1.177214721,1698.925408
76,1.191029903,1679.218964
76,1.214072315,1647.348329
76,1.210195147,1652.626029
76,1.201508920,1664.573576
80,1.274310767,1569.475870
80,1.295267244,1544.082898
80,1.277385466,1565.698102
80,1.285828175,1555.417776
80,1.265966912,1579.820121
84,1.314336855,1521.679920
84,1.312370514,1523.959872
84,1.299345724,1539.236219
84,1.320687399,1514.362900
84,1.318360172,1517.036120
88,1.378474601,1450.879108
88,1.371991818,1457.734641
88,1.390798479,1438.022855
88,1.365434976,1464.734707
88,1.378101430,1451.271987
92,1.362277767,1468.129370
92,1.355769258,1475.177275
92,1.356715101,1474.148846
92,1.353962856,1477.145397
92,1.356732298,1474.130160
96,1.413512589,1414.914883
96,1.405405513,1423.076814
96,1.421460180,1407.003888
96,1.408872647,1419.574725
96,1.426097516,1402.428640
100,1.381642842,1447.552102
100,1.386850396,1442.116616
100,1.379892384,1449.388389
100,1.380187789,1449.078173
100,1.386426192,1442.557860
104,1.510760237,1323.836802
104,1.508296273,1325.999431
104,1.496212653,1336.708386
104,1.511591534,1323.108760
104,1.517882656,1317.624911
108,1.488875071,1343.296049
108,1.510351082,1324.195430
108,1.473751500,1357.080892
108,1.480633507,1350.773159
108,1.468300831,1362.118687
112,1.528143852,1308.777310
112,1.551153535,1289.363016
112,1.550194187,1290.160947
112,1.548997816,1291.157405
112,1.554108958,1286.911056
116,1.601086966,1249.151384
116,1.596470861,1252.763235
116,1.604648628,1246.378780
116,1.611330970,1241.209930
116,1.592919601,1255.556149
120,1.618776314,1235.501152
120,1.621938555,1233.092335
120,1.595799354,1253.290393
120,1.599877388,1250.095798
120,1.597846957,1251.684331
124,1.664901644,1201.272164
124,1.680359392,1190.221574
124,1.660257888,1204.632132
124,1.664163773,1201.804794
124,1.664963381,1201.227620
128,1.661034704,1204.068762
128,1.668662137,1198.564979
128,1.653987806,1209.198758
128,1.683886899,1187.728226
128,1.672019394,1196.158374
