size,runtime,GFLOPS
2000,0.25231917,634.117495
2000,0.24497088,653.138855
2000,0.24128067,663.128132
2000,0.24017490,666.181187
2000,0.23560732,679.096048
3000,0.54066690,998.766523
3000,0.53684582,1005.875393
3000,0.53488746,1009.558160
3000,0.54258367,995.238209
3000,0.53867205,1002.465229
4000,0.126446628,1012.284804
4000,0.127639065,1002.827778
4000,0.128369522,997.121420
4000,0.126023013,1015.687508
4000,0.127118940,1006.930989
5000,0.327197043,764.065585
5000,0.322946154,774.122859
5000,0.329118478,759.604874
5000,0.329819111,757.991249
5000,0.328246922,761.621765
6000,0.587865149,734.862410
6000,0.586576964,736.476245
6000,0.590609346,731.447958
6000,0.585752668,737.512646
6000,0.592950848,728.559545
7000,0.895949874,765.667835
7000,0.895655692,765.919322
7000,0.899539986,762.612014
7000,0.895684725,765.894495
7000,0.889845997,770.919915
8000,1.282480635,798.452602
8000,1.274633268,803.368330
8000,1.278488053,800.946084
8000,1.286426892,796.003260
8000,1.297130144,789.435050
9000,1.819728154,801.218576
9000,1.772204163,822.704308
9000,1.813189963,804.107694
9000,1.772399790,822.613503
9000,1.762996615,827.001021
10000,2.431935478,822.390239
10000,2.415230223,828.078409
10000,2.437212436,820.609632
10000,2.378018252,841.036438
10000,2.333669326,857.019449
11000,3.799564584,700.606594
11000,3.794880519,701.471360
11000,4.26297624,661.153310
11000,3.993678689,666.553373
11000,4.15267120,662.969591
12000,3.928962768,879.621469
12000,3.911782342,883.484739
12000,3.933713968,878.559048
12000,3.914628530,882.842388
12000,3.427959075,1008.180064
13000,4.837564378,908.308326
13000,4.820707989,911.484373
13000,4.812285572,913.079645
13000,4.828733166,909.969520
13000,4.776113400,919.994906
14000,6.55932604,906.218804
14000,6.74705074,903.418344
14000,6.41151766,908.436042
14000,6.54945402,906.366554
14000,6.67047456,904.558608
15000,7.457303482,905.152917
15000,7.513740516,898.354153
15000,7.509989291,898.802880
15000,7.499730423,900.032350
15000,7.477809648,902.670744
16000,8.649251052,947.134029
16000,8.868929646,923.674031
16000,9.84819069,901.724067
16000,9.112828634,898.952491
16000,9.111992199,899.035010
17000,9.790471316,1003.628904
17000,9.790216027,1003.655075
17000,9.783480387,1004.346062
17000,9.807885885,1001.846893
17000,9.707679111,1012.188381
18000,10.996770862,1060.675006
18000,11.384322364,1024.566911
18000,11.397077012,1023.420302
18000,11.351138578,1027.562118
18000,11.626290446,1003.243473
19000,12.808881298,1070.975652
19000,11.953349245,1147.628143
19000,12.964285095,1058.137792
19000,12.846723898,1067.820879
19000,14.780247458,928.130604
20000,13.650893988,1172.084408
20000,13.937231279,1148.004197
20000,14.134435369,1131.987206
20000,14.52503973,1138.587118
20000,13.971851270,1145.159628
