size,runtime,GFLOPS
2000,0.35743710,447.631206
2000,0.34073829,469.568595
2000,0.34845936,459.164018
2000,0.35075066,456.164502
2000,0.35398703,451.993961
3000,0.72917742,740.560507
3000,0.86186782,626.546191
3000,0.72616669,743.630915
3000,0.71568751,754.519245
3000,0.74329940,726.490564
4000,0.189838711,674.256580
4000,0.218333369,586.259446
4000,0.191498424,668.412812
4000,0.197817516,647.061001
4000,0.216299838,591.771132
5000,0.425600814,587.404892
5000,0.427270554,585.109359
5000,0.429758680,581.721817
5000,0.427243283,585.146707
5000,0.423824761,589.866433
6000,0.782825310,551.847257
6000,0.777731776,555.461424
6000,0.769923709,561.094554
6000,0.770609885,560.594937
6000,0.778904054,554.625435
7000,1.232478286,556.602098
7000,1.231054323,557.245921
7000,1.225133689,559.938892
7000,1.245350547,550.848917
7000,1.234170463,555.838938
8000,1.812367723,565.006752
8000,1.813933686,564.518983
8000,1.796557125,569.979093
8000,1.823025222,561.703693
8000,1.804259298,567.545918
9000,2.575052328,566.202086
9000,2.606483521,559.374340
9000,2.588051920,563.358095
9000,2.582058561,564.665737
9000,2.626116604,555.192408
10000,3.692383976,541.655476
10000,2.908715876,687.588642
10000,3.573167293,559.727501
10000,2.881184975,694.158833
10000,3.502689193,570.989857
11000,4.593364833,579.531585
11000,4.750187915,560.398883
11000,4.722469006,563.688189
11000,4.738073036,561.831778
11000,4.738009255,561.839342
12000,5.771345961,598.820453
12000,5.818875099,593.929229
12000,5.812149050,594.616547
12000,5.825135165,593.290954
12000,5.790066783,596.884307
13000,7.8424428,626.959746
13000,7.73745238,621.170236
13000,7.7310080,627.059449
13000,6.965700389,630.805196
13000,7.21641090,625.779635
14000,9.106485809,602.647400
14000,9.293182435,590.540435
14000,9.420634484,582.550996
14000,9.238481838,594.036996
14000,9.102191612,602.931715
15000,10.689521471,631.459511
15000,11.178146691,603.856810
15000,11.213063565,601.976432
15000,11.23068413,612.352182
15000,11.406942317,591.744905
16000,13.225986935,619.386670
16000,13.269653914,617.348429
16000,11.665257475,702.256253
16000,12.931996740,633.467527
16000,13.338003213,614.184887
17000,14.994164001,655.321630
17000,14.768103818,665.352852
17000,14.910581122,658.995107
17000,14.938142669,657.779231
17000,14.851683789,661.608484
18000,14.919026486,781.820450
18000,16.791959699,694.618151
18000,16.334687874,714.063231
18000,14.709651122,792.948786
18000,14.734924821,791.588701
19000,16.916167535,810.940183
19000,22.740780913,603.233462
19000,19.299341427,710.801457
19000,18.654019308,735.391112
19000,22.783867435,602.092689
20000,20.930201725,764.445571
20000,25.951752091,616.528701
20000,25.857263950,618.781633
20000,20.940287598,764.077376
20000,20.490361857,780.854926
