size,runtime,GFLOPS
2000,0.34628367,462.048932
2000,0.35343439,452.700712
2000,0.32535704,491.767444
2000,0.33009883,484.703324
2000,0.35860367,446.175021
3000,0.71299495,757.368618
3000,0.71479263,755.463861
3000,0.73063833,739.079758
3000,0.74359874,726.198111
3000,0.74378267,726.018529
4000,0.168225740,760.882372
4000,0.176132294,726.726468
4000,0.165365437,774.043248
4000,0.183233668,698.561577
4000,0.167005572,766.441493
5000,0.368406283,678.598633
5000,0.377111355,662.934162
5000,0.356775869,700.720037
5000,0.375090535,666.505754
5000,0.378007406,661.362704
6000,0.656327539,658.207944
6000,0.634973535,680.343315
6000,0.632495252,683.009080
6000,0.627511228,688.433897
6000,0.650443927,664.161786
7000,0.981665388,698.812455
7000,0.939380216,730.268733
7000,0.992926273,690.887147
7000,0.935538312,733.267672
7000,0.953779995,719.243435
8000,1.346093322,760.719917
8000,1.333571421,767.862886
8000,1.361758384,751.968934
8000,1.335436550,766.790455
8000,1.388881919,737.283700
9000,1.849783479,788.200358
9000,1.925407124,757.242446
9000,1.877255170,776.665859
9000,1.859591048,784.043353
9000,1.829940142,796.747373
10000,2.469217912,809.973065
10000,2.482106700,805.767133
10000,2.458131545,813.626107
10000,2.321901576,861.362954
10000,2.564290691,779.942776
11000,3.183625640,836.153587
11000,3.264908839,815.336700
11000,3.181784376,836.637460
11000,3.171174485,839.436623
11000,3.158744608,842.739864
12000,4.56869030,851.888482
12000,3.961579906,872.379223
12000,3.944664157,876.120213
12000,3.910942770,883.674399
12000,3.890404703,888.339457
13000,5.94244169,862.542088
13000,4.702537841,934.389079
13000,4.740061668,926.992159
13000,5.165368697,850.665317
13000,4.696047654,935.680454
14000,6.209640521,883.787070
14000,6.222208284,882.001976
14000,6.504888172,843.673228
14000,6.419524589,854.891967
14000,6.529728786,840.463698
15000,7.621292347,885.676561
15000,7.650665636,882.276173
15000,7.626784750,885.038745
15000,7.748418823,871.145476
15000,8.403620587,803.225221
16000,10.450024958,783.921573
16000,9.287804610,882.016832
16000,10.336415319,792.537814
16000,10.455369737,783.520832
16000,10.563374391,775.509766
17000,11.805606456,832.316411
17000,11.488294537,855.305369
17000,11.591719283,847.674082
17000,11.786838005,833.641728
17000,11.859447314,828.537767
18000,9.130796895,1277.435051
18000,11.352776623,1027.413855
18000,11.171250138,1044.108748
18000,11.148343786,1046.254065
18000,11.176012311,1043.663847
19000,12.473176475,1099.800041
19000,15.746570262,871.173835
19000,12.334523541,1112.162943
19000,11.364370599,1207.106006
19000,10.797924304,1270.429354
20000,13.445480426,1189.990948
20000,18.981515680,842.925311
20000,13.156389232,1216.139149
20000,12.308438882,1299.921148
20000,13.887969056,1152.076300
