size,runtime,GFLOPS
2000,0.17441302,917.362706
2000,0.15507466,1031.761088
2000,0.13829240,1156.968857
2000,0.15636678,1023.235242
2000,0.16071994,995.520531
3000,0.30954819,1744.477976
3000,0.31316476,1724.331946
3000,0.31955604,1689.844448
3000,0.31005043,1741.652156
3000,0.30761947,1755.415546
4000,0.52946401,2417.539202
4000,0.52422339,2441.707151
4000,0.53811584,2378.669990
4000,0.53853814,2376.804733
4000,0.53431812,2395.576628
5000,0.94464094,2646.508207
5000,0.93239478,2681.267692
5000,0.94023203,2658.918140
5000,0.95372308,2621.305967
5000,0.91173584,2742.022295
6000,0.187204998,2307.630697
6000,0.179953624,2400.618506
6000,0.183585573,2353.126081
6000,0.186039717,2322.084805
6000,0.186897594,2311.426224
7000,0.419782669,1634.178947
7000,0.419747944,1634.314140
7000,0.420873165,1629.944736
7000,0.421293665,1628.317862
7000,0.419015440,1637.171174
8000,0.698382510,1466.245196
8000,0.692552317,1478.588657
8000,0.691888981,1480.006227
8000,0.687698868,1489.023827
8000,0.685849224,1493.039526
9000,1.21676691,1427.065933
9000,0.981919244,1484.847159
9000,0.988884074,1474.389201
9000,1.2763504,1453.981915
9000,0.989775795,1473.060876
10000,1.373217954,1456.433040
10000,1.367729568,1462.277373
10000,1.321435689,1513.505361
10000,1.313400804,1522.764410
10000,1.310859853,1525.716113
11000,1.639762704,1623.405627
11000,1.623336467,1639.832563
11000,1.629736495,1633.392888
11000,1.627028678,1636.111297
11000,1.656841166,1606.671813
12000,2.73896976,1666.428005
12000,2.69159332,1670.243536
12000,2.70547595,1669.123670
12000,2.82680924,1659.399652
12000,2.54034158,1682.542613
13000,2.666894370,1647.609313
13000,2.640456380,1664.106263
13000,2.631606005,1669.702832
13000,2.611388300,1682.629887
13000,2.646308622,1660.426136
14000,3.219978188,1704.359371
14000,3.256932716,1685.020993
14000,3.256950954,1685.011558
14000,3.249153922,1689.055099
14000,3.222051136,1703.262850
15000,3.899087453,1731.174302
15000,3.887775601,1736.211318
15000,3.886649061,1736.714556
15000,3.881764030,1738.900136
15000,3.911680142,1725.601214
16000,4.565065105,1794.497956
16000,4.611229586,1776.532668
16000,4.586673620,1786.043804
16000,4.607505021,1777.968762
16000,4.588219977,1785.441858
17000,5.683202393,1728.954790
17000,5.756045810,1707.074670
17000,5.740266727,1711.767147
17000,5.752799755,1708.037898
17000,5.746555910,1709.893744
18000,6.503883693,1793.390004
18000,6.699168343,1741.111643
18000,6.594902967,1768.638607
18000,6.683466144,1745.202227
18000,6.673771526,1747.737386
19000,7.443819095,1842.871223
19000,7.528474521,1822.148692
19000,5.955220167,2303.525246
19000,7.533235670,1820.997059
19000,5.821408967,2356.474193
20000,8.31373646,1992.187228
20000,8.60784769,1984.918399
20000,8.43050320,1989.295027
20000,8.101762511,1974.878920
20000,8.25368615,1993.677894
