size,runtime,GFLOPS
2000,0.22495729,711.246121
2000,0.18919173,845.702928
2000,0.20143359,794.306451
2000,0.18806912,850.751043
2000,0.19460909,822.160979
3000,0.35337476,1528.122722
3000,0.35245574,1532.107265
3000,0.34546234,1563.122626
3000,0.35219184,1533.255285
3000,0.36215875,1491.058824
4000,0.61522925,2080.525268
4000,0.59031162,2168.346271
4000,0.58760202,2178.345132
4000,0.64243963,1992.405107
4000,0.61787489,2071.616796
5000,0.112934772,2213.667195
5000,0.104686181,2388.089790
5000,0.103778280,2408.981918
5000,0.106687313,2343.296433
5000,0.103865875,2406.950310
6000,0.212918725,2028.943204
6000,0.212875209,2029.357961
6000,0.214815216,2011.030727
6000,0.212902044,2029.102172
6000,0.210436147,2052.879252
7000,0.446626219,1535.959984
7000,0.456035988,1504.267247
7000,0.455949131,1504.553805
7000,0.454248851,1510.185438
7000,0.456010164,1504.352434
8000,0.794364889,1289.080137
8000,0.805780026,1270.818297
8000,0.803324559,1274.702720
8000,0.804187066,1273.335575
8000,0.797941916,1283.301428
9000,1.198308853,1216.714703
9000,1.186288504,1229.043353
9000,1.184124757,1231.289179
9000,1.209161132,1205.794630
9000,1.193774552,1221.336137
10000,1.565259965,1277.743023
10000,1.588402165,1259.126967
10000,1.581243132,1264.827628
10000,1.560567566,1281.585010
10000,1.560355349,1281.759313
11000,2.43616999,1302.592414
11000,2.44376091,1302.108752
11000,2.57700814,1293.676895
11000,2.52665423,1296.850412
11000,2.47430421,1300.166283
12000,2.618070055,1320.056350
12000,2.624718660,1316.712550
12000,2.612413018,1322.914859
12000,2.616609576,1320.793148
12000,2.621410066,1318.374429
13000,3.315139272,1325.434511
13000,3.310142201,1327.435419
13000,3.314899830,1325.530250
13000,3.295076266,1333.504795
13000,3.307993340,1328.297717
14000,3.290387712,1667.888553
14000,3.981243530,1378.463779
14000,3.326885693,1649.590790
14000,3.330882617,1647.611348
14000,3.450366443,1590.555696
15000,4.947876721,1364.221540
15000,4.977518377,1356.097454
15000,4.958863711,1361.198935
15000,4.951698749,1363.168549
15000,4.964571965,1359.633831
16000,6.80122001,1347.341385
16000,6.73959964,1348.708264
16000,6.65874095,1350.506105
16000,6.62510928,1351.255296
16000,6.49818559,1354.090196
17000,7.586447815,1295.204322
17000,7.408299615,1326.350244
17000,7.403803511,1327.155696
17000,7.411552143,1325.768181
17000,7.418018280,1324.612535
18000,8.794075987,1326.347420
18000,8.768738430,1330.179945
18000,8.812168200,1323.624304
18000,6.548915358,1781.058292
18000,8.714721572,1338.424860
19000,7.451445201,1840.985155
19000,9.636173505,1423.594126
19000,7.373404879,1860.470193
19000,10.32776190,1367.318451
19000,7.448754423,1841.650190
20000,10.469964612,1528.180905
20000,10.390249402,1539.905288
20000,10.445046777,1531.826553
20000,10.481846492,1526.448609
20000,10.287509551,1555.284097
