size,runtime,GFLOPS
2000,0.19816314,807.415547
2000,0.20279233,788.984475
2000,0.19974762,801.010796
2000,0.20257532,789.829679
2000,0.20089598,796.432064
3000,0.41316699,1306.977598
3000,0.41777091,1292.574440
3000,0.42461443,1271.741990
3000,0.42137264,1281.526015
3000,0.42611844,1267.253302
4000,0.73674475,1737.372407
4000,0.75239073,1701.243714
4000,0.73665287,1737.589104
4000,0.75942830,1685.478405
4000,0.74729325,1712.848336
5000,0.126908116,1969.929173
5000,0.132966403,1880.174197
5000,0.127280434,1964.166778
5000,0.127986718,1953.327688
5000,0.127502256,1960.749620
6000,0.251757131,1715.939478
6000,0.250657709,1723.465844
6000,0.236778558,1824.489530
6000,0.265221145,1628.829406
6000,0.240167120,1798.747472
7000,0.455386433,1506.412906
7000,0.447679146,1532.347455
7000,0.439035546,1562.515852
7000,0.432826736,1584.929818
7000,0.438240607,1565.350150
8000,0.618331859,1656.068639
8000,0.662699126,1545.195942
8000,0.640841141,1597.899908
8000,0.636542546,1608.690584
8000,0.632830032,1618.128009
9000,0.935636088,1558.298166
9000,0.901226740,1617.794874
9000,0.915828345,1592.001392
9000,0.933437042,1561.969297
9000,0.903843316,1613.111448
10000,1.137767670,1757.828116
10000,1.130223536,1769.561451
10000,1.143407535,1749.157618
10000,1.172188458,1706.210282
10000,1.91163802,1832.905377
11000,1.546642489,1721.147595
11000,1.457753497,1826.097489
11000,1.454883575,1829.699672
11000,1.547581921,1720.102803
11000,1.540563601,1727.939047
12000,1.849130996,1868.986030
12000,1.851234349,1866.862508
12000,1.884317400,1834.085914
12000,1.870145931,1847.984129
12000,1.804425007,1915.291567
13000,2.310807666,1901.499664
13000,2.331137251,1884.916900
13000,2.289470448,1919.221104
13000,2.297178932,1912.780907
13000,2.292484832,1916.697523
14000,2.755715732,1991.497140
14000,2.437897865,2251.119737
14000,2.513994830,2182.979827
14000,2.908619770,1886.805576
14000,2.535171786,2164.744823
15000,3.429238541,1968.367006
15000,3.323326380,2031.097529
15000,3.365716220,2005.516674
15000,3.366762671,2004.893323
15000,3.347594931,2016.372990
16000,3.887797171,2107.105808
16000,4.22463774,2036.562779
16000,3.994875068,2050.627331
16000,3.951108365,2073.342273
16000,4.33382137,2031.049804
17000,4.905247995,2003.160699
17000,4.938277703,1989.762543
17000,4.691947434,2094.226361
17000,4.954576483,1983.216938
17000,4.707192762,2087.443726
18000,5.631355416,2071.259784
18000,5.577059653,2091.424644
18000,5.492061616,2123.792633
18000,5.536844153,2106.615190
18000,5.648352518,2065.026919
19000,6.22911802,2277.635876
19000,6.69902586,2260.003321
19000,6.40249738,2271.098149
19000,5.992651575,2289.136925
19000,6.29699572,2275.071890
20000,7.319074673,2186.068692
20000,7.412411757,2158.541717
20000,7.426821252,2154.353721
20000,7.251442089,2206.457668
20000,7.396196767,2163.273978
