size,runtime,GFLOPS
2000,0.24284129,658.866538
2000,0.23643541,676.717586
2000,0.23668528,676.003172
2000,0.23490595,681.123658
2000,0.23869554,670.309969
3000,0.54175354,996.763215
3000,0.54112916,997.913326
3000,0.55345263,975.693259
3000,0.54373513,993.130608
3000,0.53129916,1016.376536
4000,0.127714378,1002.236412
4000,0.128269096,997.902098
4000,0.128494195,996.153951
4000,0.127424044,1004.519995
4000,0.126156781,1014.610542
5000,0.331462738,754.232592
5000,0.336415172,743.129385
5000,0.329095335,759.658292
5000,0.322055407,776.263943
5000,0.321368521,777.923112
6000,0.601643311,718.033413
6000,0.595648053,725.260492
6000,0.590026323,732.170724
6000,0.588266158,734.361469
6000,0.588062338,734.615996
7000,0.960406013,714.281242
7000,0.915104257,749.641360
7000,0.911985330,752.205082
7000,0.886258070,774.040907
7000,0.902836257,759.827704
8000,1.337124174,765.822666
8000,1.340004847,764.176340
8000,1.332752001,768.334993
8000,1.356548369,754.856976
8000,1.345345101,761.142995
9000,1.833123879,795.363596
9000,1.819671352,801.243586
9000,1.827652781,797.744525
9000,1.838258771,793.141870
9000,1.789145060,814.914359
10000,2.477589530,807.236217
10000,2.512220984,796.108309
10000,2.479815364,806.511658
10000,2.484204448,805.086716
10000,2.514684604,795.328367
11000,3.780218495,704.192100
11000,3.843198706,692.652190
11000,3.816712965,697.458788
11000,4.10522281,663.753949
11000,3.803694831,699.845839
12000,3.429797196,1007.639753
12000,3.997346602,864.573514
12000,3.948042479,875.370521
12000,3.910393594,883.798502
12000,3.962245881,872.232593
13000,4.834693254,908.847732
13000,4.833486042,909.074726
13000,4.827490961,910.203672
13000,4.879674259,900.469943
13000,4.864780350,903.226802
14000,6.138720053,893.997438
14000,6.95740533,900.300787
14000,6.63429461,905.098350
14000,6.76941848,903.085818
14000,6.120585791,896.646201
15000,7.514279541,898.289711
15000,7.544354696,894.708729
15000,7.504062277,899.512791
15000,7.600284943,888.124597
15000,7.514445134,898.269916
16000,9.20930304,908.110331
16000,9.118888595,898.355092
16000,9.28570824,907.341833
16000,9.72488135,902.949652
16000,9.85843709,901.622377
17000,9.698342955,1013.162769
17000,9.719629815,1010.943851
17000,9.706419520,1012.319731
17000,9.748069256,1007.994480
17000,9.467946865,1037.817400
18000,11.243294626,1037.418336
18000,11.564433094,1008.609752
18000,11.388573179,1024.184489
18000,11.394872452,1023.618303
18000,11.259465685,1035.928376
19000,12.640422802,1085.248509
19000,13.207529943,1038.649926
19000,12.499018591,1097.526170
19000,12.747038466,1076.171539
19000,12.832906077,1068.970654
20000,14.290990636,1119.586487
20000,13.243656097,1208.125602
20000,14.50964847,1138.711838
20000,13.612768200,1175.367109
20000,14.243504476,1123.319056
