size,runtime,GFLOPS
2000,0.46602287,343.330790
2000,0.34316493,466.248110
2000,0.35102895,455.802862
2000,0.35984436,444.636676
2000,0.34488465,463.923228
3000,0.70805904,762.648267
3000,0.72905165,740.688263
3000,0.76848579,702.680527
3000,0.75514651,715.093022
3000,0.71901616,751.026236
4000,0.181823159,703.980729
4000,0.205757984,622.090076
4000,0.201679427,634.670585
4000,0.228148757,561.037464
4000,0.198806348,643.842620
5000,0.425269891,587.861980
5000,0.430183841,581.146887
5000,0.428894045,582.894547
5000,0.436236294,573.083908
5000,0.426355273,586.365446
6000,0.770081463,560.979612
6000,0.771804319,559.727368
6000,0.763836640,565.565957
6000,0.756255106,571.235813
6000,0.769144710,561.662837
7000,1.228792357,558.271702
7000,1.236846235,554.636446
7000,1.230926221,557.303913
7000,1.223486403,560.692786
7000,1.217640127,563.384850
8000,1.792040254,571.415736
8000,1.811223769,565.363605
8000,1.786833121,573.080937
8000,1.793943233,570.809589
8000,1.802852825,567.988682
9000,2.595786859,561.679398
9000,2.569041007,567.526947
9000,2.567130510,567.949309
9000,2.527645682,576.821352
9000,2.591928561,562.515504
10000,2.888247067,692.461536
10000,3.483323479,574.164304
10000,2.861753661,698.872173
10000,3.470374707,576.306644
10000,2.829879081,706.743978
11000,4.562241011,583.485176
11000,4.549690015,585.094807
11000,4.588903272,580.095034
11000,4.691718098,567.382768
11000,4.651489907,572.289751
12000,5.715441009,604.677748
12000,5.766850719,599.287231
12000,5.675266269,608.958212
12000,5.746751226,601.383262
12000,5.704328254,605.855737
13000,7.143876138,615.072254
13000,6.683439334,657.445932
13000,6.885170983,638.183135
13000,6.976117074,629.863283
13000,6.945284025,632.659512
14000,9.187075673,597.360923
14000,9.144471028,600.144063
14000,9.345510176,587.233858
14000,9.403595754,583.606542
14000,9.190389283,597.145543
15000,10.639292156,634.440703
15000,11.28259424,612.063948
15000,10.992221889,614.070574
15000,10.688335101,631.529601
15000,11.168880109,604.357817
16000,13.328866879,614.605883
16000,13.313942904,615.294812
16000,13.241691055,618.652102
16000,13.289408663,616.430739
16000,13.286452336,616.567899
17000,15.59232967,652.490072
17000,14.859596394,661.256184
17000,14.786057585,664.544957
17000,14.758453215,665.787929
17000,15.25636232,653.949014
18000,15.45205323,775.263597
18000,14.891692649,783.255488
18000,14.819991062,787.045009
18000,16.93338434,724.771933
18000,13.320810287,875.622410
19000,16.946807090,809.474016
19000,18.774462492,730.673382
19000,17.712518160,774.480504
19000,14.253839876,962.407332
19000,13.683042944,1002.554772
20000,20.872882265,766.544831
20000,20.883839073,766.142659
20000,20.675834087,773.850280
20000,21.605499908,740.552177
20000,20.836706794,767.875661
