size,runtime,GFLOPS
2000,0.34909718,458.325100
2000,0.33215727,481.699527
2000,0.35901406,445.664997
2000,0.34994588,457.213555
2000,0.35685781,448.357849
3000,0.72430841,745.538768
3000,0.74790810,722.013841
3000,0.73174443,737.962570
3000,0.71628125,753.893809
3000,0.71326731,757.079418
4000,0.174953832,731.621586
4000,0.176917209,723.502257
4000,0.175023604,731.329930
4000,0.173671343,737.024300
4000,0.170645053,750.094994
5000,0.405951584,615.836986
5000,0.363434503,687.881855
5000,0.399260973,626.156867
5000,0.362252323,690.126699
5000,0.394686628,633.413909
6000,0.628309134,687.559637
6000,0.665764232,648.878355
6000,0.641086052,673.856495
6000,0.626227976,689.844620
6000,0.647735093,666.939316
7000,0.972854648,705.141309
7000,0.939746343,729.984219
7000,0.934029965,734.451812
7000,0.968863122,708.046353
7000,0.944612833,726.223460
8000,1.332748847,768.336812
8000,1.333082347,768.144595
8000,1.365331314,750.001109
8000,1.412040671,725.191576
8000,1.362795387,751.396732
9000,1.859753694,783.974784
9000,1.836213255,794.025419
9000,1.849674703,788.246710
9000,1.833293917,795.289826
9000,1.836628771,793.845780
10000,2.466166592,810.975222
10000,2.227603413,897.825882
10000,2.503102531,799.008421
10000,2.186566396,914.676089
10000,2.554199939,783.024058
11000,3.164985251,841.078169
11000,3.157217809,843.147404
11000,3.205021045,830.571769
11000,3.165517980,840.936623
11000,3.252552285,818.434192
12000,3.943718674,876.330257
12000,3.927793013,879.883433
12000,4.28286320,857.933058
12000,3.969993233,870.530451
12000,3.989351272,866.306265
13000,4.923319565,892.487262
13000,4.702236470,934.448964
13000,4.754742848,924.129893
13000,4.800903339,915.244422
13000,4.718856224,931.157847
14000,6.382745462,859.818088
14000,6.347106903,864.645906
14000,6.231440755,880.695206
14000,6.328452110,867.194680
14000,6.145703656,892.981554
15000,7.608512486,887.164214
15000,7.842172532,860.730872
15000,7.878478513,856.764411
15000,8.378788533,805.605724
15000,7.835773919,861.433736
16000,10.357081664,790.956397
16000,7.902210352,1036.671973
16000,9.580597703,855.061475
16000,8.327224619,983.761142
16000,9.203488194,890.097301
17000,11.393355983,862.432458
17000,11.537430033,851.662803
17000,11.787821621,833.572166
17000,11.131278429,882.737779
17000,11.339093127,866.559600
18000,11.319337695,1030.448982
18000,11.280590741,1033.988403
18000,10.866329745,1073.407514
18000,10.974534210,1062.824151
18000,11.109514072,1049.910907
19000,10.77886245,1361.198139
19000,12.784401996,1073.026334
19000,12.678075210,1082.025447
19000,12.119146070,1131.927936
19000,11.497021755,1193.178572
20000,13.234159380,1208.992543
20000,13.477984268,1187.121136
20000,13.211401181,1211.075175
20000,13.250345685,1207.515666
20000,18.51095742,886.372785
