size,runtime,GFLOPS
2000,0.17586516,909.787931
2000,0.15267883,1047.951442
2000,0.14795349,1081.420925
2000,0.14757498,1084.194624
2000,0.14500376,1103.419663
3000,0.31982819,1688.406516
3000,0.31087141,1737.052629
3000,0.30953880,1744.530896
3000,0.31710518,1702.905011
3000,0.31624806,1707.520356
4000,0.53728014,2382.369838
4000,0.54049796,2368.186552
4000,0.54722284,2339.083654
4000,0.53215783,2405.301450
4000,0.54736162,2338.490594
5000,0.92430021,2704.748926
5000,0.92165590,2712.509083
5000,0.93865961,2663.372295
5000,0.91917553,2719.828714
5000,0.92685170,2697.303139
6000,0.178913221,2414.578406
6000,0.179161272,2411.235392
6000,0.177312094,2436.382033
6000,0.178346276,2422.254110
6000,0.179964068,2400.479189
7000,0.422245774,1624.646218
7000,0.426046979,1610.151072
7000,0.413555103,1658.787414
7000,0.416436281,1647.310840
7000,0.407984665,1681.435747
8000,0.692778904,1478.105055
8000,0.685691214,1493.383580
8000,0.702333738,1457.996312
8000,0.688443535,1487.413198
8000,0.712152975,1437.893312
9000,0.998771042,1459.794026
9000,1.1454219,1455.882828
9000,0.999669946,1458.481378
9000,1.11789937,1441.010576
9000,1.2108084,1454.932879
10000,1.394445088,1434.262286
10000,1.297378133,1541.570610
10000,1.352820419,1478.392824
10000,1.336857236,1496.046059
10000,1.393053804,1435.694726
11000,1.654310533,1609.129572
11000,1.681448516,1583.158791
11000,1.727205601,1541.217790
11000,1.656075960,1607.414191
11000,1.654859020,1608.596242
12000,2.129219340,1623.130100
12000,2.117660311,1631.989787
12000,2.178414510,1586.474927
12000,2.168037887,1594.068084
12000,2.163551747,1597.373395
13000,2.624270386,1674.370150
13000,2.682287764,1638.153840
13000,2.714553912,1618.682164
13000,2.696570219,1629.477315
13000,2.608520901,1684.479506
14000,3.260045652,1683.412009
14000,2.853820496,1923.036157
14000,3.242606958,1692.465375
14000,3.265627276,1680.534714
14000,2.952894440,1858.515471
15000,3.907110612,1727.619377
15000,3.968160066,1701.040252
15000,3.955170908,1706.626631
15000,3.939881072,1713.249684
15000,3.929709826,1717.684078
16000,4.644153319,1763.938319
16000,4.630347073,1769.197831
16000,4.654812099,1759.899181
16000,4.654944072,1759.849286
16000,4.659024170,1758.308114
17000,5.721793837,1717.293611
17000,5.754743120,1707.461097
17000,5.694448645,1725.540191
17000,5.693146707,1725.934796
17000,5.709139126,1721.100114
18000,6.687459090,1744.160202
18000,6.666768169,1749.573362
18000,6.645080853,1755.283383
18000,6.675403130,1747.310203
18000,6.699004934,1741.154114
19000,7.480199549,1833.908295
19000,7.584721756,1808.635892
19000,7.638157935,1795.982764
19000,5.885449219,2330.833126
19000,5.964151934,2300.075543
20000,8.52202400,1987.034007
20000,8.71171004,1982.364144
20000,8.87419334,1978.381402
20000,8.47145631,1988.282645
20000,8.49334923,1987.741864
