size,runtime,GFLOPS
2000,0.22681739,705.413284
2000,0.19666402,813.570271
2000,0.18217650,878.269151
2000,0.19113105,837.121964
2000,0.19562147,817.906133
3000,0.34932915,1545.820038
3000,0.35259044,1531.521955
3000,0.35502221,1521.031600
3000,0.36522062,1478.558357
3000,0.34875407,1548.369027
4000,0.58833758,2175.621690
4000,0.59820076,2139.749873
4000,0.59359002,2156.370486
4000,0.59720747,2143.308757
4000,0.59607357,2147.385934
5000,0.106023619,2357.965162
5000,0.108311145,2308.165055
5000,0.101828881,2455.099158
5000,0.101054107,2473.922213
5000,0.104536773,2391.502940
6000,0.214287191,2015.986107
6000,0.209415501,2062.884543
6000,0.204462591,2112.855940
6000,0.207569511,2081.230514
6000,0.205987828,2097.211297
7000,0.456920923,1501.353879
7000,0.465286722,1474.359717
7000,0.450370814,1523.189289
7000,0.455723680,1505.298123
7000,0.449229109,1527.060438
8000,0.790270555,1295.758767
8000,0.815359794,1255.887287
8000,0.795895358,1286.601297
8000,0.791395544,1293.916813
8000,0.784909171,1304.609550
9000,1.107749990,1316.181461
9000,1.128162073,1292.367502
9000,1.108239248,1315.600402
9000,1.119285892,1302.616258
9000,1.107456587,1316.530162
10000,1.543111137,1296.082928
10000,1.543919871,1295.404015
10000,1.550858503,1289.608302
10000,1.539803672,1298.866886
10000,1.543188181,1296.018220
11000,2.44004689,1302.345349
11000,2.51262971,1297.737071
11000,2.41074391,1304.215080
11000,2.54280434,1295.830869
11000,2.45289556,1301.527205
12000,2.623793554,1317.176801
12000,2.627672791,1315.232251
12000,2.631013338,1313.562326
12000,2.628194985,1314.970929
12000,2.621689613,1318.233853
13000,3.308262333,1328.189713
13000,3.323048612,1322.279784
13000,3.294948138,1333.556650
13000,3.311639347,1326.835304
13000,3.307078144,1328.665308
14000,3.326597329,1649.733784
14000,3.343500518,1641.393495
14000,3.950656854,1389.136086
14000,3.330896912,1647.604277
14000,3.506883079,1564.922433
15000,4.959459153,1361.035506
15000,4.971667494,1357.693371
15000,4.957708082,1361.516227
15000,4.967420232,1358.854231
15000,4.948304212,1364.103683
16000,6.80686591,1347.216285
16000,6.27947491,1359.003212
16000,6.66785427,1350.303237
16000,6.61103145,1351.569146
16000,6.43716253,1355.457413
17000,7.614348550,1290.458394
17000,7.246129742,1356.034235
17000,7.349205394,1337.015293
17000,7.362345382,1334.629047
17000,7.329177726,1340.668813
18000,8.809219874,1324.067303
18000,8.551302091,1364.002800
18000,8.592353466,1357.486054
18000,8.631890276,1351.268335
18000,8.640144246,1349.977462
19000,9.715273369,1412.003500
19000,9.954308894,1378.096676
19000,9.879559042,1388.523510
19000,7.482939421,1833.236811
19000,9.829239004,1395.631950
20000,10.421638925,1535.267160
20000,10.453795559,1530.544567
20000,10.616816383,1507.043112
20000,10.497114376,1524.228414
20000,10.529628457,1519.521801
