size,runtime,GFLOPS
2000,0.21056565,759.858030
2000,0.20907236,765.285282
2000,0.20847304,767.485330
2000,0.20022501,799.100971
2000,0.20195673,792.248914
3000,0.42224371,1278.882283
3000,0.41852395,1290.248742
3000,0.42499718,1270.596666
3000,0.43153509,1251.346675
3000,0.42843980,1260.387107
4000,0.72663528,1761.543976
4000,0.73409777,1743.636955
4000,0.75342586,1698.906379
4000,0.74588982,1716.071148
4000,0.73871283,1732.743697
5000,0.127640693,1958.623023
5000,0.126111620,1982.370855
5000,0.131647659,1899.008322
5000,0.127181314,1965.697571
5000,0.125833750,1986.748388
6000,0.246675162,1751.291036
6000,0.241842419,1786.287128
6000,0.234223168,1844.394829
6000,0.234916971,1838.947600
6000,0.239631758,1802.766059
7000,0.441092886,1555.227984
7000,0.415500919,1651.019212
7000,0.451617119,1518.985820
7000,0.415335238,1651.677819
7000,0.446761312,1535.495535
8000,0.644013654,1590.028400
8000,0.638898823,1602.757687
8000,0.648993792,1577.827111
8000,0.614645950,1665.999752
8000,0.642033684,1594.931895
9000,0.843257702,1729.008815
9000,0.844000142,1727.487861
9000,0.907036041,1607.433370
9000,0.845900722,1723.606520
9000,0.875673317,1665.004485
10000,1.88326214,1837.684303
10000,1.85966492,1841.677450
10000,1.87373478,1839.294447
10000,1.92852471,1830.073183
10000,1.139612406,1754.982650
11000,1.532007481,1737.589426
11000,1.495662261,1779.813578
11000,1.543660674,1724.472253
11000,1.533164288,1736.278376
11000,1.452476880,1832.731410
12000,1.837431661,1880.886279
12000,1.811741916,1907.556462
12000,1.801468747,1918.434614
12000,1.797479063,1922.692771
12000,1.919338130,1800.620717
13000,2.329264620,1886.432294
13000,2.284274489,1923.586689
13000,2.273933493,1932.334439
13000,2.294536870,1914.983393
13000,2.300816245,1909.757031
14000,2.735271777,2006.381979
14000,2.767313278,1983.150966
14000,2.869991231,1912.200964
14000,2.809493956,1953.376688
14000,2.773854148,1978.474609
15000,3.386554596,1993.176194
15000,3.357554545,2010.391763
15000,3.343238081,2019.000692
15000,3.399674789,1985.484030
15000,3.403202666,1983.425809
16000,3.966509767,2065.291776
16000,4.31102432,2032.198422
16000,3.961729225,2067.783923
16000,4.25572765,2034.989920
16000,3.938048983,2080.217904
17000,4.709238281,2086.537018
17000,4.842979973,2028.916092
17000,4.755591504,2066.199334
17000,4.896306974,2006.818619
17000,4.710753640,2085.865819
18000,5.439888994,2144.161400
18000,5.446431868,2141.585589
18000,5.358538867,2176.712774
18000,5.246207648,2223.320307
18000,5.545585299,2103.294670
19000,5.849372385,2345.208870
19000,6.167982560,2224.065951
19000,6.39589347,2271.346479
19000,6.20954365,2278.376345
19000,6.52174147,2266.623476
20000,7.246507919,2207.960052
20000,7.174920314,2229.989923
20000,7.210688103,2218.928315
20000,7.255392859,2205.256188
20000,7.221409322,2215.633997
