threads,runtime,GFLOPS
1,30.297738487,66.011528
1,30.323805802,65.954782
1,30.318709118,65.965869
1,30.309749373,65.985369
1,30.307831971,65.989544
2,15.694074548,127.436632
2,16.110794058,124.140374
2,15.623601673,128.011456
2,15.617714263,128.059713
2,15.625024085,127.999803
3,10.518661539,190.138260
3,10.295517688,194.259294
3,10.524380660,190.034936
3,10.472478634,190.976756
3,10.489952096,190.658640
4,7.754353698,257.919625
4,7.787961634,256.806607
4,7.748726471,258.106930
4,7.759710761,257.741566
4,8.56155464,248.257374
5,6.98440049,327.952720
5,6.91734585,328.313713
5,6.94332336,328.173767
5,6.93429906,328.222369
5,6.90366421,328.387467
6,5.182624396,385.904871
6,5.192404621,385.177995
6,5.166659605,387.097303
6,5.173976873,386.549853
6,5.165604364,387.176380
7,4.401052627,454.436738
7,4.402624649,454.274475
7,4.402073808,454.331319
7,4.400384727,454.505713
7,4.412619830,453.245482
8,3.916422227,510.670169
8,3.911095668,511.365656
8,3.905570286,512.089107
8,3.907683718,511.812149
8,3.915053972,510.848641
9,3.462229668,577.662429
9,3.459714195,578.082433
9,3.460540596,577.944383
9,3.458528676,578.280589
9,3.460842881,577.893903
10,3.206655752,623.702747
10,3.206656768,623.702549
10,3.203725575,624.273195
10,3.208824728,623.281160
10,3.206071428,623.816420
11,2.820021307,709.214500
11,2.820584885,709.072792
11,2.819670809,709.302658
11,2.823997713,708.215871
11,2.820267049,709.152703
12,2.661177333,751.547060
12,2.658808354,752.216683
12,2.656769245,752.794020
12,2.661415079,751.479924
12,2.646518749,755.709742
13,2.738438877,730.343122
13,2.735964861,731.003540
13,2.733384637,731.693583
13,2.734336836,731.438780
13,2.733219129,731.737891
14,2.443921548,818.356875
14,2.479310623,806.675848
14,2.330277716,858.266801
14,2.356250037,848.806353
14,2.325334307,860.091383
15,2.231756130,896.155262
15,2.242278580,891.949831
15,2.245126059,890.818577
15,2.231474398,896.268405
15,2.233899787,895.295309
16,2.136774051,935.990401
16,2.134383906,937.038550
16,2.136246635,936.221486
16,2.132767206,937.748852
16,2.139260293,934.902595
17,2.159450184,926.161675
17,2.158818965,926.432476
17,2.160723029,925.616089
17,2.170146962,921.596572
17,2.156241758,927.539777
18,1.955351342,1022.834085
18,1.960235140,1020.285760
18,1.971894942,1014.252817
18,1.964411792,1018.116470
18,1.961815467,1019.463876
19,1.968526534,1015.988337
19,1.962081291,1019.325758
19,1.988088912,1005.991225
19,1.980618796,1009.785429
19,1.978426368,1010.904440
20,1.800231975,1110.967935
20,1.794728394,1114.374747
20,1.799813290,1111.226376
20,1.807404644,1106.559069
20,1.795488427,1113.903030
21,1.677915534,1191.955113
21,1.681041127,1189.738887
21,1.679774935,1190.635697
21,1.680144007,1190.374153
21,1.679264760,1190.997422
22,1.668385685,1198.763582
22,1.674974548,1194.047995
22,1.675967047,1193.340886
22,1.670704821,1197.099556
22,1.676310103,1193.096669
23,1.719248226,1163.299150
23,1.715915767,1165.558379
23,1.719539017,1163.102425
23,1.717049859,1164.788541
23,1.718010506,1164.137235
24,1.669778890,1197.763376
24,1.669528443,1197.943053
24,1.672449020,1195.851100
24,1.685308366,1186.726441
24,1.671892247,1196.249342
