threads,runtime,GFLOPS
1,44.822480953,44.620466
1,44.755030271,44.687714
1,44.700858010,44.741870
1,45.31428307,44.413426
1,44.818863025,44.624068
2,24.281918072,82.365816
2,24.332583918,82.194312
2,24.352713760,82.126371
2,24.262795690,82.430732
2,24.286140451,82.351496
3,15.768952725,126.831505
3,15.768626840,126.834126
3,15.761570961,126.890905
3,15.728535514,127.157420
3,15.735244385,127.103205
4,11.586820308,172.609909
4,11.596223483,172.469943
4,11.601754842,172.387714
4,11.623133305,172.070641
4,11.604509512,172.346793
5,9.177501158,217.924244
5,9.194520700,217.520855
5,9.202706358,217.327373
5,9.191946879,217.581762
5,9.158880405,218.367302
6,7.615271007,262.630181
6,7.632522967,262.036552
6,7.638944153,261.816288
6,7.629348437,262.145584
6,7.615546490,262.620680
7,6.504049098,307.500754
7,6.501445478,307.623898
7,6.497861849,307.793555
7,6.489848623,308.173598
7,6.490267059,308.153730
8,5.656487744,353.576299
8,5.657086345,353.538885
8,5.692862133,351.317132
8,5.673581254,352.511035
8,5.677211948,352.285597
9,5.2402940,399.807857
9,5.67652,399.994588
9,5.315653,399.974749
9,5.3827832,399.694008
9,5.26114432,397.921700
10,4.500571686,444.387989
10,4.504253709,444.024722
10,4.540238358,440.505507
10,4.509456886,443.512390
10,4.534412426,441.071480
11,4.93676601,488.558378
11,4.83839667,489.735191
11,4.85704123,489.511707
11,4.105027335,487.207474
11,4.82303020,489.919536
12,3.745535574,533.969031
12,3.757199673,532.311342
12,3.741347822,534.566711
12,3.746018580,533.900182
12,3.758459231,532.132951
13,3.474036178,575.699244
13,3.476573517,575.279076
13,3.483688790,574.104095
13,3.486191454,573.691958
13,3.485233479,573.849647
14,3.231967725,618.818061
14,3.265388707,612.484509
14,3.223553191,620.433379
14,3.220585276,621.005137
14,3.227634092,619.648926
15,3.47014826,656.380134
15,3.16607120,662.996512
15,3.49610636,655.821427
15,3.23430736,661.500188
15,3.64494373,652.636212
16,2.856169389,700.238581
16,2.848977011,702.006367
16,2.846381666,702.646459
16,2.832718590,706.035540
16,2.868169242,697.308921
17,2.700856318,740.505886
17,2.680679146,746.079591
17,2.695553524,741.962637
17,2.666060587,750.170499
17,2.672904728,748.249640
18,2.585049524,773.679568
18,2.519794804,793.715424
18,2.559249462,781.479113
18,2.554825647,782.832285
18,2.552116212,783.663373
19,2.447030895,817.317020
19,2.456607519,814.130863
19,2.397219102,834.300043
19,2.473376624,808.611184
19,2.447638293,817.114198
20,2.279877629,877.240065
20,2.353877968,849.661719
20,2.338812040,855.134986
20,2.325420318,860.059571
20,2.317940999,862.834732
21,2.261489935,884.372718
21,2.248668585,889.415191
21,2.188811808,913.737761
21,2.164750522,923.893991
21,2.245529209,890.658644
22,2.165174202,923.713204
22,2.65487093,968.294601
22,2.99175845,952.754866
22,2.128648049,939.563495
22,2.157398711,927.042363
23,2.23365546,988.452138
23,1.983406563,1008.366130
23,2.11379466,994.342457
23,2.50521581,975.361595
23,2.69126824,966.591306
24,1.921727336,1040.730369
24,1.881466196,1063.000762
24,1.881767817,1062.830378
24,1.985834131,1007.133460
24,1.993666252,1003.176935
