threads,runtime,GFLOPS
1,43.870761047,45.588450
1,43.842626597,45.617705
1,43.868646658,45.590647
1,43.859703538,45.599943
1,43.864461272,45.594997
2,25.467602235,78.531146
2,24.803349117,80.634272
2,24.539563698,81.501042
2,24.786405642,80.689392
2,24.890844836,80.350828
3,16.74644109,124.419551
3,16.159523124,123.766029
3,16.214417042,123.347019
3,16.365949496,122.204948
3,16.198864779,123.465442
4,12.86308589,165.476496
4,12.15051637,166.457878
4,12.83128910,165.520042
4,12.99415395,165.297242
4,12.95506189,165.350666
5,9.643266733,207.398598
5,9.540446787,209.633788
5,9.804771566,203.982315
5,9.539076535,209.663901
5,9.615466769,207.998223
6,7.893810326,253.363068
6,7.982338582,250.553140
6,7.928586429,252.251775
6,7.848855341,254.814226
6,7.840984181,255.070021
7,6.676282960,299.567890
7,6.775599534,295.176831
7,6.711435823,297.998827
7,6.779125141,295.023319
7,6.690408479,298.935410
8,5.962359243,335.437688
8,5.964381822,335.323938
8,5.836093021,342.695018
8,5.885936867,339.792975
8,5.971642198,334.916248
9,5.329906322,375.241117
9,5.283382404,378.545380
9,5.189537136,385.390825
9,5.212308927,383.707111
9,5.188828366,385.443468
10,4.689927546,426.445820
10,4.790863034,417.461319
10,4.690452102,426.398129
10,4.700642152,425.473783
10,4.712601724,424.394022
11,4.346956398,460.092032
11,4.412669397,453.240390
11,4.304083449,464.675005
11,4.291018386,466.089823
11,4.251031633,470.474034
12,3.957330999,505.391134
12,4.36477819,495.481479
12,3.950272794,506.294148
12,3.957966053,505.310044
12,4.45486132,494.378162
13,3.778705587,529.281775
13,3.790684117,527.609249
13,3.666093229,545.539864
13,3.781641855,528.870812
13,3.790901229,527.579032
14,3.455582538,578.773616
14,3.489581637,573.134607
14,3.381174480,591.510439
14,3.505124965,570.593066
14,3.507125840,570.267533
15,3.360511580,595.147480
15,3.289340543,608.024610
15,3.271764148,611.291007
15,3.313474017,603.596102
15,3.165377172,631.836237
16,3.25315621,661.088049
16,2.979648490,671.220114
16,3.132174594,638.534009
16,3.17586302,662.781376
16,3.130019276,638.973701
17,2.914100990,686.318013
17,2.933692039,681.734815
17,2.920609781,684.788503
17,2.928994633,682.828155
17,2.810686435,711.569948
18,2.742231876,729.332927
18,2.608168699,766.821564
18,2.707744763,738.622055
18,2.712069400,737.444256
18,2.591825220,771.656972
19,2.552487411,783.549408
19,2.580579595,775.019691
19,2.443379248,818.538506
19,2.574605450,776.818056
19,2.569553206,778.345432
20,2.358851700,847.870173
20,2.437294729,820.581925
20,2.482171671,805.746042
20,2.360280154,847.357038
20,2.429902985,823.078128
21,2.372504768,842.990930
21,2.243245357,891.565425
21,2.364355956,845.896319
21,2.362258584,846.647363
21,2.309643913,865.934350
22,2.160414810,925.748144
22,2.271335999,880.539031
22,2.276484656,878.547542
22,2.139435344,934.826101
22,2.224102021,899.239325
23,2.211396021,904.406077
23,2.189084426,913.623968
23,2.92714536,955.696520
23,2.86035984,958.756232
23,2.213575075,903.515775
24,2.139998022,934.580303
24,1.988300500,1005.884171
24,2.41534082,979.655455
24,2.132549798,937.844454
24,2.135440407,936.574954
