threads,runtime,GFLOPS
1,23.649616197,84.567969
1,24.36896338,83.205418
1,24.38985157,83.198188
1,24.19225840,83.266630
1,24.38179282,83.200977
2,13.347079388,149.845516
2,13.296906466,150.410925
2,13.251599201,150.925180
2,13.249927788,150.944219
2,13.60258803,153.136322
3,8.579814703,233.105267
3,8.555240414,233.774845
3,8.624246663,231.904313
3,8.657706056,231.008074
3,8.512140010,234.958541
4,6.361120935,314.409995
4,6.351785528,314.872092
4,6.367768254,314.081782
4,6.355844410,314.671013
4,6.405093244,312.251504
5,5.74383092,394.136580
5,5.110185636,391.375215
5,5.194687592,385.008716
5,5.16707285,398.667868
5,4.992589266,400.593739
6,4.202732306,475.880892
6,4.195370692,476.715920
6,4.177039437,478.808024
6,4.303477112,464.740476
6,4.180129513,478.454075
7,3.657820906,546.773626
7,3.696786727,541.010382
7,3.641173157,549.273521
7,3.636915462,549.916549
7,3.656472707,546.975230
8,3.211548248,622.752593
8,3.177576917,629.410413
8,3.159891238,632.933177
8,3.117189508,641.603597
8,3.211859178,622.692307
9,2.852048236,701.250412
9,2.855996125,700.281062
9,2.855022540,700.519863
9,2.853940111,700.785553
9,2.851672321,701.342852
10,2.554700334,782.870685
10,2.532993050,789.579742
10,2.537430586,788.198901
10,2.538689202,787.808133
10,2.634626666,759.120837
11,2.379653773,840.458399
11,2.406288359,831.155581
11,2.421693374,825.868387
11,2.414336563,828.384920
11,2.415113706,828.118359
12,2.139613778,934.748140
12,2.78333132,962.309636
12,2.167841964,922.576476
12,2.228982969,897.270203
12,2.230060176,896.836786
13,2.257179039,886.061746
13,2.161240881,925.394304
13,2.126695209,940.426250
13,2.218466110,901.523801
13,2.270518262,880.856161
14,1.981843949,1009.161191
14,1.866861244,1071.316900
14,1.872100839,1068.318521
14,1.940475732,1030.675090
14,1.986235446,1006.929971
15,1.755343293,1139.378267
15,1.726720936,1158.264754
15,1.848253687,1082.102535
15,1.872015991,1068.366942
15,1.677930641,1191.944381
16,1.720250427,1162.621423
16,1.785109930,1120.379180
16,1.693290846,1181.131998
16,1.645113330,1215.721716
16,1.789057084,1117.907314
17,1.721445759,1161.814126
17,1.656678445,1207.234878
17,1.746891048,1144.891092
17,1.796547535,1113.246358
17,1.662905074,1202.714473
18,1.488637808,1343.510147
18,1.628756144,1227.930901
18,1.502919376,1330.743373
18,1.556635893,1284.821973
18,1.632334896,1225.238770
19,1.495262004,1337.558230
19,1.581929826,1264.278584
19,1.642384462,1217.741671
19,1.499083091,1334.148862
19,1.582548945,1263.783977
20,1.404806073,1423.684050
20,1.338720952,1493.963321
20,1.482617953,1348.965184
20,1.337584433,1495.232713
20,1.336960549,1495.930453
21,1.340288560,1492.215975
21,1.233742304,1621.084074
21,1.391460051,1437.339145
21,1.227068352,1629.901054
21,1.308931953,1527.963310
22,1.267448959,1577.972814
22,1.226241258,1631.000414
22,1.354507943,1476.550957
22,1.205615991,1658.903013
22,1.299257143,1539.341162
23,1.215677851,1645.172690
23,1.212471417,1649.523421
23,1.279385195,1563.250855
23,1.213727634,1647.816152
23,1.366606998,1463.478530
24,1.206811292,1657.259932
24,1.292771138,1547.064241
24,1.208774450,1654.568394
24,1.209695442,1653.308701
24,1.253781732,1595.173984
