threads,runtime,GFLOPS
1,22.593833638,88.519728
1,22.426137908,89.181651
1,22.731371288,87.984133
1,22.658391359,88.267519
1,22.662744171,88.250566
2,11.807499257,169.383877
2,11.769662949,169.928401
2,11.800765268,169.480534
2,11.813421809,169.298958
2,11.801778043,169.465990
3,7.598592773,263.206630
3,7.645960858,261.576019
3,7.636002549,261.917147
3,7.611359991,262.765130
3,7.621817876,262.404591
4,5.670082416,352.728559
4,5.646115723,354.225825
4,5.675756130,352.375957
4,5.677194300,352.286692
4,5.674647286,352.444813
5,4.476847228,446.742964
5,4.499249597,444.518571
5,4.478500821,446.578013
5,4.481760267,446.253231
5,4.491663336,445.269347
6,3.738799840,534.931017
6,3.735464930,535.408587
6,3.736866388,535.207790
6,3.734647942,535.525712
6,3.739071783,534.892111
7,3.203679936,624.282088
7,3.205264436,623.973479
7,3.193602209,626.252072
7,3.189924876,626.974013
7,3.202996763,624.415242
8,2.798987772,714.544029
8,2.795596535,715.410817
8,2.797959572,714.806611
8,2.789096171,717.078178
8,2.785628740,717.970766
9,2.478714971,806.869698
9,2.463898123,811.721873
9,2.461987033,812.351963
9,2.474852630,808.128927
9,2.478797554,806.842816
10,2.236064160,894.428718
10,2.249260041,889.181315
10,2.250269800,888.782314
10,2.227859238,897.722785
10,2.220829858,900.564261
11,2.29931105,985.255113
11,2.34890068,982.854077
11,2.66915926,967.625231
11,2.24280719,988.005261
11,2.20568268,989.820553
12,1.867114103,1071.171814
12,1.884861300,1061.086033
12,1.888006305,1059.318496
12,1.857795360,1076.544835
12,1.873336955,1067.613594
13,1.741548672,1148.403161
13,1.728753081,1156.903217
13,1.733493768,1153.739366
13,1.761468241,1135.416440
13,1.727614178,1157.665887
14,1.598083452,1251.499099
14,1.668215167,1198.886115
14,1.595625883,1253.426647
14,1.607136251,1244.449560
14,1.673457118,1195.130714
15,1.501924827,1331.624569
15,1.501601972,1331.910877
15,1.545711097,1293.902854
15,1.502229576,1331.354429
15,1.502519358,1331.097659
16,1.494281278,1338.436096
16,1.412960917,1415.467318
16,1.431199739,1397.428986
16,1.443293211,1385.719814
16,1.412405580,1416.023859
17,1.387260922,1441.689857
17,1.335187207,1497.917288
17,1.378383762,1450.974725
17,1.367826179,1462.174091
17,1.334961192,1498.170892
18,1.347125354,1484.642832
18,1.262925313,1583.624922
18,1.291012469,1549.171714
18,1.259889528,1587.440768
18,1.259636929,1587.759103
19,1.232647731,1622.523572
19,1.200397776,1666.114383
19,1.286769610,1554.279791
19,1.201222189,1664.970909
19,1.249594204,1600.519588
20,1.141444626,1752.165593
20,1.202548741,1663.134251
20,1.135054415,1762.030061
20,1.130524089,1769.091008
20,1.181781901,1692.359646
21,1.83534606,1845.810913
21,1.103257395,1812.813591
21,1.92768677,1830.213514
21,1.184653111,1688.257922
21,1.83377829,1846.078022
22,1.145976789,1745.236046
22,1.38862550,1925.182499
22,1.101088826,1816.383885
22,1.39677437,1923.673563
22,1.99307201,1819.327662
23,0.989150454,2021.937100
23,1.16954553,1966.656223
23,0.990015275,2020.170850
23,1.67185047,1874.089227
23,0.990104497,2019.988805
24,0.985268939,2029.902619
24,0.952145331,2100.519674
24,1.1127727,1997.747087
24,0.950945085,2103.170868
24,0.993143661,2013.807346
