threads,runtime,GFLOPS
1,46.5004777,43.473531
1,46.9427383,43.469352
1,45.966701877,43.509756
1,46.7664948,43.471017
1,46.42332201,43.438286
2,25.789745690,77.550202
2,25.811289704,77.485473
2,25.609498748,78.096023
2,25.751493683,77.665398
2,25.481256612,78.489065
3,16.954763691,117.960948
3,17.75858601,117.124418
3,16.871228921,118.545010
3,16.740618492,119.469899
3,16.886449248,118.438161
4,12.871162439,155.386121
4,12.989359139,153.972184
4,12.821834561,155.983919
4,12.709811979,157.358740
4,12.714005842,157.306833
5,10.21997754,199.561011
5,10.8397271,199.832195
5,9.887126018,202.283252
5,10.23088050,199.539303
5,9.955019030,200.903684
6,8.414293772,237.690774
6,8.318592314,240.425294
6,8.371374662,238.909388
6,8.481008576,235.821009
6,8.322325369,240.317449
7,6.997746813,285.806282
7,7.100249605,281.680238
7,7.73427849,282.748342
7,7.107514908,281.392305
7,7.89055232,282.125041
8,6.288921069,318.019574
8,6.323940889,316.258491
8,6.343753356,315.270769
8,6.188974023,323.155339
8,6.333391582,315.786569
9,5.666413054,352.956973
9,5.604402262,356.862321
9,5.525550006,361.954918
9,5.510726954,362.928524
9,5.671061534,352.667660
10,5.109743552,391.409076
10,5.127284256,390.070045
10,5.115508828,390.967950
10,5.135445705,389.450131
10,5.61599495,395.132014
11,4.549831718,439.576697
11,4.606643966,434.155540
11,4.533995680,441.112022
11,4.511450300,443.316421
11,4.484069225,446.023444
12,4.228976778,472.927638
12,4.278330500,467.472066
12,4.257559758,469.752655
12,4.318093519,463.167366
12,4.247895281,470.821399
13,4.198686271,476.339472
13,4.245992861,471.032351
13,4.233986928,472.368015
13,4.401631854,454.376937
13,4.285694437,466.668828
14,3.788748268,527.878829
14,3.767103074,530.911940
14,3.801583040,526.096623
14,3.801282534,526.138213
14,3.719136691,537.759208
15,3.546201612,563.983726
15,3.514222181,569.115980
15,3.531677624,566.303104
15,3.560591683,561.704396
15,3.496760712,571.957925
16,3.251686060,615.065527
16,3.346310875,597.673102
16,3.323578896,601.760952
16,3.329312657,600.724596
16,3.338761853,599.024455
17,3.382694098,591.244713
17,3.251417669,615.116298
17,3.416655608,585.367748
17,3.411229392,586.298888
17,3.405410610,587.300690
18,3.122386774,640.535637
18,3.69919981,651.482779
18,3.79397442,649.477710
18,3.41752439,657.515705
18,3.19547133,662.350979
19,2.969003779,673.626627
19,3.56992595,654.237764
19,2.933434400,681.794691
19,3.102022457,644.740658
19,2.889723520,692.107735
20,2.654361361,753.476911
20,2.649689323,754.805472
20,2.584564623,773.824722
20,2.681900952,745.739696
20,2.620940847,763.084753
21,2.482598979,805.607356
21,2.615770443,764.593088
21,2.539516931,787.551355
21,2.609082991,766.552849
21,2.615113928,764.785036
22,2.421687970,825.870230
22,2.557017440,782.161267
22,2.587477417,772.953606
22,2.415376489,828.028264
22,2.498523345,800.472809
23,2.461319285,812.572352
23,2.419336043,826.673089
23,2.404417571,831.802273
23,2.454477661,814.837320
23,2.418977509,826.795616
24,2.251599679,888.257366
24,2.347881873,851.831612
24,2.325364671,860.080152
24,2.186772795,914.589757
24,2.345841221,852.572622
