threads,runtime,GFLOPS
1,44.927473607,44.516191
1,45.239753987,44.208905
1,44.729941753,44.712779
1,44.770862430,44.671911
1,45.305908533,44.144353
2,24.298718068,82.308869
2,24.330374546,82.201776
2,24.279616600,82.373624
2,24.221553799,82.571086
2,24.345957190,82.149163
3,15.844202774,126.229134
3,15.852231756,126.165201
3,15.867966451,126.040095
3,15.827978508,126.358524
3,15.797428531,126.602883
4,11.606560051,172.316344
4,11.585486635,172.629779
4,11.607113607,172.308127
4,11.574937902,172.787104
4,11.677701307,171.266583
5,9.176875667,217.939097
5,9.189220002,217.646329
5,9.138393479,218.856849
5,9.141692290,218.777874
5,9.146582695,218.660900
6,7.635871209,261.921652
6,7.602374642,263.075696
6,7.623365944,262.351304
6,7.606487203,262.933460
6,7.620141544,262.462316
7,6.478962527,308.691398
7,6.492109350,308.066284
7,6.469278907,309.153467
7,6.526815188,306.428165
7,6.506459180,307.386851
8,5.676119520,352.353398
8,5.695584590,351.149205
8,5.676511926,352.329040
8,5.671045185,352.668677
8,5.656329412,353.586196
9,5.2587047,399.793143
9,4.998854110,400.091692
9,5.5549912,399.556499
9,5.1892933,399.848623
9,5.18343976,398.537846
10,4.504942084,443.956873
10,4.509559272,443.502320
10,4.500476152,444.397422
10,4.503741886,444.075183
10,4.498854149,444.557644
11,4.116655730,485.831250
11,4.103751092,487.358993
11,4.85410542,489.546884
11,4.84187965,489.693427
11,4.82466885,489.899871
12,3.740649447,534.666514
12,3.746169841,533.878624
12,3.744158429,534.165431
12,3.738248112,535.009967
12,3.743224697,534.298676
13,3.507417349,570.220137
13,3.475862578,575.396741
13,3.478473008,574.964933
13,3.498279787,571.709561
13,3.477249906,575.167174
14,3.275502038,610.593423
14,3.247674364,615.825288
14,3.263313933,612.873919
14,3.243660718,616.587299
14,3.221253330,620.876347
15,3.22292826,661.749246
15,3.65952606,652.325804
15,3.26547077,660.819062
15,3.90820326,647.077406
15,3.48478650,656.064952
16,2.852506231,701.137820
16,2.854545975,700.636815
16,2.827524458,707.332520
16,2.853703566,700.843642
16,2.838029892,704.714212
17,2.735522045,731.121873
17,2.678460630,746.697554
17,2.663426871,750.912301
17,2.678371157,746.722498
17,2.699874700,740.775118
18,2.541142430,787.047580
18,2.561564934,780.772712
18,2.536711473,788.422342
18,2.546748473,785.315088
18,2.578665999,775.594823
19,2.428429041,823.577698
19,2.380826771,840.044318
19,2.445793966,817.730368
19,2.422630498,825.548924
19,2.430398366,822.910362
20,2.327522170,859.282900
20,2.357501958,848.355605
20,2.282910360,876.074696
20,2.335593588,856.313363
20,2.320757683,861.787516
21,2.225733814,898.580049
21,2.203158792,907.787495
21,2.261982278,884.180225
21,2.213627974,903.494184
21,2.187897565,914.119579
22,2.65877045,968.111827
22,2.87201786,958.220721
22,2.96053367,954.174179
22,2.149084753,930.628723
22,2.63876556,969.050205
23,1.984012593,1008.058118
23,2.82964578,960.169953
23,2.74308252,964.176852
23,2.17454569,991.348222
23,1.995279664,1002.365752
24,1.881061462,1063.229480
24,1.929343473,1036.622057
24,1.939805072,1031.031431
24,1.952829860,1024.154762
24,1.880258159,1063.683724
