threads,runtime,GFLOPS
1,43.839632521,45.620820
1,43.850495777,45.609519
1,43.881076269,45.577734
1,43.845192867,45.615035
1,44.653403571,44.789419
2,25.299442918,79.053124
2,24.786379101,80.689478
2,24.674883300,81.054081
2,24.666152437,81.082771
2,24.745985130,80.821191
3,16.431578392,121.716852
3,16.245722021,123.109333
3,16.235835163,123.184301
3,16.311863042,122.610152
3,16.86236859,124.329886
4,12.351157602,161.928142
4,11.961200216,167.207301
4,12.55522200,165.899077
4,12.64287088,165.778548
4,12.256694840,163.176128
5,9.492521939,210.692165
5,9.366008571,213.538135
5,9.427672698,212.141433
5,9.625794884,207.775049
5,9.534743792,209.759176
6,7.948198169,251.629358
6,8.10833197,249.661920
6,7.902767504,253.075900
6,7.847345772,254.863244
6,7.870691833,254.107268
7,6.740491768,296.714256
7,6.779006846,295.028467
7,6.687513376,299.064822
7,6.782860765,294.860837
7,6.671066652,299.802131
8,5.958381493,335.661623
8,5.980365819,334.427702
8,5.809665068,344.253925
8,6.63169124,329.860500
8,5.960552266,335.539378
9,5.291669906,377.952525
9,5.190252982,385.337672
9,5.215050478,383.505396
9,5.207831708,384.036987
9,5.205564954,384.204216
10,4.686688596,426.740535
10,4.688307935,426.593139
10,4.701174374,425.425615
10,4.691855210,426.270614
10,4.694149425,426.062279
11,4.347758802,460.007119
11,4.375273884,457.114241
11,4.308616566,464.186119
11,4.259927091,469.491603
11,4.259597669,469.527912
12,3.944683132,507.011573
12,4.1397450,499.825380
12,3.963368621,504.621243
12,3.958174879,505.283385
12,4.116351081,485.867206
13,3.831274597,522.019487
13,3.794081144,527.136855
13,3.817430543,523.912610
13,3.917782642,510.492843
13,3.732043026,535.899502
14,3.537578319,565.358508
14,3.512771804,569.350960
14,3.471651386,576.094710
14,3.430869846,582.942545
14,3.504532161,570.689584
15,3.162638083,632.383456
15,3.310905400,604.064375
15,3.258905918,613.702896
15,3.315062516,603.306873
15,3.162843334,632.342418
16,3.82097421,648.908755
16,3.83949518,648.519046
16,3.17415580,662.818875
16,2.999230323,666.837750
16,3.129676029,639.043780
17,2.870056258,696.850452
17,2.910776401,687.101902
17,2.802134506,713.741612
17,2.910772535,687.102814
17,2.869955386,696.874944
18,2.714820432,736.696975
18,2.735536771,731.117937
18,2.606801335,767.223790
18,2.750969936,727.016306
18,2.682070353,745.692594
19,2.561190363,780.886899
19,2.562137518,780.598225
19,2.571422708,777.779551
19,2.557785764,781.926316
19,2.633636789,759.406160
20,2.351995825,850.341645
20,2.514265880,795.460821
20,2.512410848,796.048147
20,2.371800777,843.241144
20,2.480952051,806.142142
21,2.384435406,838.772984
21,2.246115942,890.425985
21,2.279580408,877.354443
21,2.352382707,850.201795
21,2.323380128,860.814800
22,2.138166136,935.381010
22,2.233953297,895.273864
22,2.308975370,866.185073
22,2.229420611,897.094066
22,2.145054143,932.377398
23,2.232342649,895.919809
23,2.207966840,905.810705
23,2.79385542,961.822596
23,2.84809900,959.320080
23,2.227983936,897.672540
24,2.118527880,944.051772
24,2.118646879,943.998747
24,1.987210488,1006.435912
24,2.34210256,983.182537
24,2.134081167,937.171477
