threads,runtime,GFLOPS
1,15.662348897,127.694767
1,15.662933242,127.690003
1,15.663593609,127.684620
1,15.663430134,127.685953
1,15.672475892,127.612256
2,8.318010309,240.442116
2,8.326452760,240.198324
2,8.322058674,240.325150
2,8.324140847,240.265036
2,8.325113039,240.236978
3,5.429776519,368.339285
3,5.431609127,368.215008
3,5.428440972,368.429907
3,5.430150079,368.313945
3,5.430608253,368.282871
4,4.104595155,487.258773
4,4.105208509,487.185973
4,4.98047287,488.037316
4,4.85311486,489.558754
4,4.102647768,487.490058
5,3.223515473,620.440639
5,3.224363852,620.277392
5,3.224765957,620.200048
5,3.230294080,619.138676
5,3.224356966,620.278716
6,2.750408121,727.164810
6,2.743660339,728.953206
6,2.749584523,727.382622
6,2.766320804,722.981947
6,2.743911524,728.886476
7,2.311209480,865.347783
7,2.312682299,864.796691
7,2.312397851,864.903070
7,2.311967452,865.064081
7,2.311993173,865.054457
8,2.85613514,958.950441
8,2.90749271,956.594857
8,2.95831058,954.275390
8,2.96741061,953.861226
8,2.98312140,953.147038
9,1.819151146,1099.413869
9,1.818668205,1099.705815
9,1.819695957,1099.084708
9,1.819234455,1099.363523
9,1.826772864,1094.826861
10,1.725873057,1158.833781
10,1.724856573,1159.516699
10,1.727129724,1157.990608
10,1.728849631,1156.838608
10,1.723437959,1160.471132
11,1.497266476,1335.767568
11,1.497424075,1335.626983
11,1.496036364,1336.865900
11,1.496895353,1336.098743
11,1.496802220,1336.181877
12,1.450075885,1379.238163
12,1.439340251,1389.525513
12,1.441502639,1387.441095
12,1.430081110,1398.522074
12,1.434709956,1394.009982
13,1.453183883,1376.288317
13,1.440678715,1388.234572
13,1.437006282,1391.782364
13,1.442000459,1386.962111
13,1.434767873,1393.953710
14,1.253360651,1595.709901
14,1.258767266,1588.856061
14,1.257346601,1590.651296
14,1.256568067,1591.636818
14,1.280790240,1561.535947
15,1.177605944,1698.360993
15,1.183261237,1690.243826
15,1.182474274,1691.368721
15,1.182645318,1691.124101
15,1.175962544,1700.734441
16,1.154010146,1733.087016
16,1.157540505,1727.801309
16,1.157218306,1728.282373
16,1.159456868,1724.945580
16,1.162678798,1720.165538
17,1.182773558,1690.940744
17,1.176788230,1699.541132
17,1.183373903,1690.082902
17,1.179980876,1694.942724
17,1.181981172,1692.074330
18,1.101261532,1816.099030
18,1.89258148,1836.112040
18,1.79461690,1852.775340
18,1.78411927,1854.578895
18,1.81477247,1849.322309
19,1.82869016,1846.945448
19,1.83156306,1846.455575
19,1.98469842,1820.714528
19,1.83844471,1845.283206
19,1.85175825,1843.019310
20,0.963344706,2076.100058
20,0.964504973,2073.602580
20,0.963428666,2075.919132
20,0.962697719,2077.495314
20,0.964230876,2074.192032
21,0.874016872,2288.285346
21,0.877334186,2279.633043
21,0.878079628,2277.697758
21,0.875903280,2283.357130
21,0.873637589,2289.278787
22,0.888846633,2250.106965
22,0.893614308,2238.102034
22,0.894843803,2235.026932
22,0.891589980,2243.183576
22,0.894103956,2236.876357
23,0.887141209,2254.432530
23,0.895427512,2233.569969
23,0.889296579,2248.968508
23,0.893884146,2237.426415
23,0.888544868,2250.871140
24,0.879575177,2273.824969
24,0.881076194,2269.951241
24,0.879157842,2274.904351
24,0.889095633,2249.476801
24,0.883339482,2264.135183
