threads,runtime,GFLOPS
1,22.557056329,88.664051
1,22.577170761,88.585059
1,22.626056847,88.393661
1,22.617807308,88.425901
1,22.602978547,88.483914
2,11.806432245,169.399185
2,11.791841238,169.608796
2,11.818755823,169.222550
2,11.860340475,168.629223
2,11.793202014,169.589226
3,7.591290436,263.459818
3,7.640841290,261.751282
3,7.616742963,262.579427
3,7.609635285,262.824685
3,7.617180218,262.564354
4,5.650597345,353.944880
4,5.665165206,353.034718
4,5.689131267,351.547522
4,5.691329953,351.411712
4,5.657185782,353.532671
5,4.481533231,446.275838
5,4.489164792,445.517171
5,4.479737174,446.454763
5,4.484047646,446.025591
5,4.494829674,444.955681
6,3.736286984,535.290787
6,3.733331381,535.714566
6,3.747505223,533.688382
6,3.730403685,536.135005
6,3.739386309,534.847121
7,3.199324227,625.132015
7,3.207864014,623.467825
7,3.202703122,624.472492
7,3.196019465,625.778417
7,3.189450210,627.067321
8,2.789261905,717.035570
8,2.780156670,719.383919
8,2.784423894,718.281439
8,2.774277594,720.908392
8,2.784711108,718.207355
9,2.461296954,812.579724
9,2.477089985,807.399009
9,2.479270346,806.688953
9,2.484458497,805.004391
9,2.484131522,805.110350
10,2.281392713,876.657486
10,2.244680176,890.995529
10,2.238162490,893.590170
10,2.215785466,902.614459
10,2.224485165,899.084441
11,2.31254209,984.613344
11,2.42883689,979.008257
11,2.45724822,977.648596
11,2.25399435,987.459543
11,2.27175407,986.594447
12,1.869235457,1069.956164
12,1.873060344,1067.771258
12,1.859516557,1075.548369
12,1.864371730,1072.747440
12,1.895766839,1054.982057
13,1.751436096,1141.920053
13,1.732113196,1154.658948
13,1.749907086,1142.917825
13,1.791000564,1116.694232
13,1.725675624,1158.966362
14,1.618983565,1235.342991
14,1.667500382,1199.400025
14,1.607736684,1243.984802
14,1.607561469,1244.120389
14,1.653097347,1209.850106
15,1.502539032,1331.080230
15,1.512902926,1321.961882
15,1.575274687,1269.619842
15,1.501530976,1331.973853
15,1.517475102,1317.978791
16,1.449593629,1379.697013
16,1.404317953,1424.178902
16,1.495137227,1337.669857
16,1.415402391,1413.025732
16,1.433269927,1395.410566
17,1.373553427,1456.077325
17,1.335390473,1497.689283
17,1.384635159,1444.423816
17,1.334698777,1498.465447
17,1.363332538,1466.993521
18,1.299663926,1538.859362
18,1.261065000,1585.961073
18,1.359633290,1470.984871
18,1.260356694,1586.852365
18,1.310786779,1525.801169
19,1.200908632,1665.405633
19,1.191798464,1678.136078
19,1.232473497,1622.752948
19,1.201697921,1664.311775
19,1.284291289,1557.279113
20,1.133597391,1764.294816
20,1.250380812,1599.512709
20,1.142135581,1751.105590
20,1.196992759,1670.853884
20,1.140417941,1753.743017
21,1.81146424,1849.888189
21,1.128985497,1771.501942
21,1.93242220,1829.420748
21,1.131717407,1767.225623
21,1.79360179,1852.949589
22,1.85920421,1841.755585
22,1.33999148,1934.237571
22,1.78879926,1853.774412
22,1.39934605,1923.197853
22,1.130659996,1768.878360
23,0.986827919,2026.695801
23,1.62849745,1881.733528
23,0.987568104,2025.176787
23,1.108656268,1803.985652
23,0.987805285,2024.690524
24,1.64564543,1878.702436
24,0.950118506,2105.000573
24,1.53092825,1899.167816
24,0.956200812,2091.610857
24,0.998291298,2003.423253
