threads,runtime,GFLOPS
1,22.48969260,90.707188
1,21.994017423,90.933819
1,22.247156901,89.899128
1,22.13186275,90.854635
1,22.9186790,90.871145
2,12.292994934,162.694283
2,12.190151452,164.066871
2,12.191270147,164.051815
2,12.281595369,162.845293
2,12.189987269,164.069080
3,7.958497253,251.303724
3,7.992747106,250.226859
3,7.975764117,250.759673
3,8.24887424,249.224680
3,7.990815417,250.287348
4,6.5294662,333.039445
4,6.9805048,332.789497
4,6.42422592,330.993069
4,5.974313048,334.766522
4,5.935367482,336.963129
5,4.758240935,420.323398
5,4.753221087,420.767299
5,4.840605658,413.171438
5,4.716118747,424.077532
5,4.750378962,421.019042
6,3.970659990,503.694601
6,3.983627228,502.055008
6,3.982625311,502.181311
6,3.973320108,503.357380
6,4.33267095,495.875912
7,3.425354185,583.881226
7,3.453069205,579.194879
7,3.439057748,581.554643
7,3.434259125,582.367238
7,3.432252732,582.707672
8,2.867450089,697.483805
8,2.874059998,695.879697
8,2.878114786,694.899317
8,2.889223097,692.227610
8,2.886832046,692.800956
9,2.577113185,776.062150
9,2.542133173,786.740845
9,2.623578943,762.317446
9,2.635273750,758.934437
9,2.694064519,742.372718
10,2.428692479,823.488366
10,2.434416005,821.552272
10,2.447895654,817.028290
10,2.472568647,808.875419
10,2.426991165,824.065629
11,2.113883233,946.126053
11,2.125063539,941.148330
11,2.201759422,908.364456
11,2.214019383,903.334458
11,2.234840979,894.918260
12,1.955683342,1022.660447
12,1.961560802,1019.596231
12,2.30778478,984.844000
12,2.124166147,941.545935
12,2.14003204,993.047080
13,1.783621591,1121.314078
13,1.890780534,1057.764222
13,1.914036524,1044.912140
13,1.821839700,1097.791425
13,1.766134089,1132.416849
14,1.792967478,1115.469201
14,1.803773482,1108.786674
14,1.650213461,1211.964420
14,1.757833610,1137.764114
14,1.784917880,1120.499729
15,1.544368839,1295.027424
15,1.539108902,1299.453208
15,1.681366051,1189.508970
15,1.540134517,1298.587869
15,1.560511795,1281.630813
16,1.580427425,1265.480444
16,1.457745864,1371.981255
16,1.534699111,1303.187045
16,1.574906335,1269.916792
16,1.447296689,1381.886669
17,1.476284869,1354.752082
17,1.425931543,1402.591877
17,1.372008890,1457.716502
17,1.504011773,1329.776825
17,1.370922986,1458.871155
18,1.367839045,1462.160338
18,1.350879863,1480.516554
18,1.297729157,1541.153629
18,1.446857608,1382.306033
18,1.293806182,1545.826591
19,1.295839308,1543.401244
19,1.216246544,1644.403439
19,1.212683911,1649.234382
19,1.282680884,1559.234276
19,1.212118936,1650.003098
20,1.349321635,1482.226289
20,1.187773460,1683.822772
20,1.306382932,1530.944680
20,1.189424372,1681.485639
20,1.187501289,1684.208698
21,1.151390490,1737.030154
21,1.89386400,1835.895877
21,1.172846681,1705.252726
21,1.108118228,1804.861566
21,1.256129503,1592.192521
22,1.102837104,1813.504454
22,1.246132227,1604.966116
22,1.91798006,1831.840678
22,1.194976128,1673.673602
22,1.89100169,1836.378376
23,1.85666598,1842.186177
23,1.33998592,1934.238611
23,1.48725282,1907.077129
23,1.37178302,1928.308755
23,1.34795967,1932.748159
24,1.5050446,1989.949866
24,1.5500896,1989.058397
24,1.11250752,1977.748838
24,1.28197833,1945.150958
24,1.51109185,1902.751901
