size,runtime,GFLOPS
2000,0.26938270,593.950540
2000,0.26761938,597.864026
2000,0.26869816,595.463698
2000,0.26932856,594.069935
2000,0.26513681,603.462039
3000,0.81921629,659.166580
3000,0.81795892,660.179854
3000,0.80808041,668.250329
3000,0.81410568,663.304548
3000,0.81759915,660.470354
4000,0.181128970,706.678783
4000,0.181908012,703.652349
4000,0.180692770,708.384735
4000,0.181421285,705.540147
4000,0.181920150,703.605401
5000,0.351031564,712.186668
5000,0.351590922,711.053626
5000,0.350347610,713.577010
5000,0.351784584,710.662182
5000,0.352693168,708.831423
6000,0.592400104,729.236874
6000,0.593243823,728.199744
6000,0.591020619,730.938966
6000,0.590868982,731.126549
6000,0.590387204,731.723176
7000,0.948041390,723.597099
7000,0.921846276,744.158780
7000,0.915790223,749.079847
7000,0.913711079,750.784373
7000,0.915687344,749.164007
8000,1.386478860,738.561567
8000,1.383212951,740.305388
8000,1.381937138,740.988842
8000,1.384625560,739.550121
8000,1.394325978,734.405022
9000,1.953878956,746.207945
9000,1.970678936,739.846544
9000,1.959534644,744.054209
9000,1.947609455,748.610044
9000,1.959795150,743.955306
10000,2.654523075,753.431009
10000,2.671512957,748.639453
10000,2.654042410,753.567461
10000,2.670103604,749.034606
10000,2.651907763,754.174043
11000,3.524034045,755.384303
11000,3.512284974,757.911166
11000,3.515010226,757.323544
11000,3.517403775,756.808194
11000,3.506028903,759.263564
12000,4.660309183,741.581699
12000,4.561161941,757.701666
12000,4.565964442,756.904712
12000,4.659893635,741.647829
12000,4.679575632,738.528506
13000,5.816811462,755.396669
13000,5.818368673,755.194496
13000,5.844552894,751.811144
13000,5.855862221,750.359184
13000,5.828599548,753.868912
14000,7.288888688,752.926850
14000,7.316424392,750.093175
14000,7.189703635,763.313800
14000,7.195238798,762.726597
14000,7.330736388,748.628747
15000,8.913534152,757.275384
15000,9.33842110,747.190389
15000,8.975697078,752.030727
15000,8.918441363,756.858707
15000,8.969722877,752.531610
16000,10.879086454,753.004403
16000,10.920682897,750.136239
16000,11.75519645,739.649268
16000,10.985725114,745.694974
16000,10.858033954,754.464393
17000,13.228138425,742.810491
17000,13.154290740,746.980601
17000,12.982681858,756.854409
17000,12.995234867,756.123310
17000,12.975097669,757.296804
18000,15.351544800,759.793242
18000,15.347741932,759.981504
18000,15.402277349,757.290609
18000,15.397216196,757.539535
18000,15.364528166,759.151200
19000,18.213943875,753.159233
19000,18.337883386,748.068886
19000,18.231543775,752.432168
19000,18.181627719,754.497904
19000,18.174492910,754.794099
20000,21.163092780,756.033164
20000,21.271396104,752.183821
20000,21.342542143,749.676392
20000,21.318009902,750.539102
20000,21.129073471,757.250431
