size,runtime,GFLOPS
2000,0.48763388,328.115019
2000,0.27270512,586.714324
2000,0.27130830,589.734999
2000,0.27137038,589.600088
2000,0.27462072,582.621734
3000,0.76180369,708.844033
3000,0.75732934,713.031929
3000,0.75875035,711.696542
3000,0.76188965,708.764058
3000,0.76510157,705.788645
4000,0.163345046,783.617276
4000,0.163411242,783.299842
4000,0.163664033,782.089978
4000,0.163468055,783.027607
4000,0.163179025,784.414541
5000,0.314585997,794.695258
5000,0.314730130,794.331321
5000,0.314056027,796.036307
5000,0.314698073,794.412237
5000,0.315338495,792.798862
6000,0.530477669,814.360387
6000,0.530632262,814.123134
6000,0.530045812,815.023891
6000,0.530909402,813.698153
6000,0.529524716,815.825942
7000,0.846495086,810.400452
7000,0.845563752,811.293056
7000,0.845924767,810.946820
7000,0.846282608,810.603921
7000,0.845434193,811.417383
8000,1.246545276,821.470363
8000,1.246486603,821.509030
8000,1.245303073,822.289788
8000,1.246450212,821.533014
8000,1.246380451,821.578996
9000,1.764568208,826.264461
9000,1.763718177,826.662683
9000,1.763801972,826.623410
9000,1.764445397,826.321972
9000,1.764532276,826.281287
10000,2.429740059,823.133319
10000,2.430779552,822.781317
10000,2.435482630,821.192471
10000,2.430727049,822.799088
10000,2.430468860,822.886494
11000,3.223031859,825.930402
11000,3.224545036,825.542819
11000,3.226640139,825.006783
11000,3.221586055,826.301069
11000,3.222522094,826.061055
12000,4.177919132,827.206054
12000,4.177588689,827.271485
12000,4.177369133,827.314965
12000,4.175461658,827.692908
12000,4.178218927,827.146701
13000,5.299358178,829.157013
13000,5.301445826,828.830501
13000,5.319309933,826.046998
13000,5.299122672,829.193863
13000,5.298910673,829.227038
14000,6.629038431,827.872708
14000,6.619507584,829.064690
14000,6.642789380,826.158965
14000,6.621313931,828.838514
14000,6.632738053,827.410936
15000,8.151368583,828.081804
15000,8.207942128,822.374219
15000,8.157659082,827.443257
15000,8.154519700,827.761812
15000,8.211164514,822.051487
16000,9.918072827,825.966913
16000,9.916639873,826.086266
16000,9.913269293,826.367141
16000,9.873714142,829.677655
16000,9.879954921,829.153581
17000,11.932764269,823.447089
17000,11.891881962,826.277963
17000,11.901064594,825.640423
17000,11.939740332,822.965971
17000,11.883233406,826.879324
18000,14.31893540,831.249180
18000,14.25417985,831.632969
18000,14.8793739,832.619868
18000,14.109729818,826.663597
18000,14.32612617,831.206584
19000,16.494980613,831.646931
19000,16.497278160,831.531109
19000,16.504869822,831.148634
19000,16.628119566,824.988054
19000,16.487914066,832.003366
20000,19.286416911,829.599405
20000,19.279143003,829.912408
20000,19.396411137,824.894868
20000,19.369237578,826.052132
20000,19.295576445,829.205598
