size,runtime,GFLOPS
2000,0.23487606,681.210337
2000,0.23529149,680.007594
2000,0.24063525,664.906742
2000,0.23468688,681.759458
2000,0.24958046,641.075828
3000,0.73766058,732.043998
3000,0.73875539,730.959134
3000,0.73582472,733.870425
3000,0.73490056,734.793290
3000,0.73726376,732.438008
4000,0.162190914,789.193407
4000,0.162260341,788.855732
4000,0.162850248,785.998189
4000,0.162651023,786.960928
4000,0.162323154,788.550474
5000,0.324579900,770.226376
5000,0.325442320,768.185281
5000,0.325336557,768.435009
5000,0.325595502,767.823875
5000,0.325350692,768.401624
6000,0.538922521,801.599457
6000,0.538181804,802.702724
6000,0.537102962,804.315058
6000,0.539412328,800.871574
6000,0.538845844,801.713523
7000,0.864911011,793.145181
7000,0.873525167,785.323681
7000,0.867791201,790.512740
7000,0.865536944,792.571599
7000,0.865859771,792.276097
8000,1.277852009,801.344751
8000,1.277280126,801.703541
8000,1.276366234,802.277569
8000,1.277309147,801.685326
8000,1.282705279,798.312767
9000,1.801323479,809.404872
9000,1.797207908,811.258393
9000,1.795147735,812.189421
9000,1.794379661,812.537074
9000,1.798377040,810.730991
10000,2.477570875,807.242295
10000,2.475441473,807.936694
10000,2.475623513,807.877284
10000,2.472158498,809.009617
10000,2.482598918,805.607376
11000,3.315959004,802.784352
11000,3.324952138,800.613028
11000,3.314457732,803.147970
11000,3.320290056,801.737184
11000,3.318362536,802.202885
12000,4.335287095,797.179039
12000,4.330741799,798.015712
12000,4.338940497,796.507812
12000,4.331334701,797.906474
12000,4.330536321,798.053577
13000,5.444196016,807.098052
13000,5.459653540,804.812974
13000,5.449033684,806.381508
13000,5.465696243,803.923197
13000,5.455747725,805.389146
14000,6.892544614,796.222630
14000,6.846378582,801.591664
14000,6.885917852,796.988886
14000,6.863356291,799.608787
14000,6.886537418,796.917183
15000,8.463754699,797.518388
15000,8.416823480,801.965256
15000,8.407929801,802.813553
15000,8.413679002,802.264978
15000,8.407724548,802.833152
16000,10.177249454,804.932613
16000,10.152319451,806.909203
16000,10.182494092,804.518021
16000,10.186715648,804.184615
16000,10.178496856,804.833967
17000,12.221790207,803.973872
17000,12.225248169,803.746465
17000,12.238884118,802.850971
17000,12.241146549,802.702587
17000,12.254168647,801.849581
18000,14.470466862,806.055541
18000,14.436492066,807.952510
18000,14.439996237,807.756443
18000,14.454077240,806.969536
18000,14.456315810,806.844576
19000,17.38386928,805.123164
19000,17.80988625,803.115107
19000,17.50230275,804.563914
19000,17.42674937,804.920592
19000,17.52439618,804.459673
20000,19.958488330,801.663920
20000,19.938992033,802.447785
20000,19.937682857,802.500477
20000,19.937555414,802.505607
20000,19.922847622,803.098046
