size,runtime,GFLOPS
2000,0.14711415,1087.590827
2000,0.15180045,1054.015321
2000,0.14939582,1070.980433
2000,0.15196402,1052.880807
2000,0.15081017,1060.936408
3000,0.43917480,1229.578746
3000,0.43365973,1245.215921
3000,0.43601350,1238.493762
3000,0.43914533,1229.661260
3000,0.43659075,1236.856255
4000,0.98406192,1300.731157
4000,0.99110373,1291.489439
4000,0.98514664,1299.298955
4000,0.97962191,1306.626554
4000,0.98047496,1305.489739
5000,0.189526533,1319.076522
5000,0.189444277,1319.649260
5000,0.190593029,1311.695403
5000,0.189014322,1322.651095
5000,0.188105309,1329.042765
6000,0.316677452,1364.164064
6000,0.320693741,1347.079611
6000,0.318963852,1354.385449
6000,0.318718474,1355.428176
6000,0.317466399,1360.773932
7000,0.499392117,1373.670061
7000,0.500258312,1371.291558
7000,0.500884241,1369.577926
7000,0.499865705,1372.368604
7000,0.503522009,1362.403207
8000,0.737322251,1388.809301
8000,0.746002552,1372.649460
8000,0.740974492,1381.963902
8000,0.734595194,1393.965014
8000,0.734270082,1394.582219
9000,1.42516621,1398.538854
9000,1.42466616,1398.605939
9000,1.39619139,1402.436667
9000,1.49348596,1389.433412
9000,1.56722549,1379.737757
10000,1.441755578,1387.197685
10000,1.451285403,1378.088690
10000,1.445734588,1383.379783
10000,1.434422204,1394.289627
10000,1.451345896,1378.031251
11000,1.900481310,1400.697805
11000,1.886251736,1411.264440
11000,1.899536001,1401.394866
11000,1.881976879,1414.470087
11000,1.897242366,1403.089056
12000,2.460889670,1404.370152
12000,2.446826500,1412.441789
12000,2.418486936,1428.992627
12000,2.451224449,1409.907608
12000,2.432630677,1420.684213
13000,3.109258205,1413.198812
13000,3.108217385,1413.672036
13000,3.100051324,1417.395888
13000,3.77526874,1427.769823
13000,3.123721004,1406.655714
14000,3.902127316,1406.412338
14000,3.939443875,1393.090034
14000,3.906362076,1404.887692
14000,3.923836238,1398.631254
14000,3.897772831,1407.983543
15000,4.822301471,1399.746582
15000,4.755110948,1419.525238
15000,4.747192037,1421.893184
15000,4.788402694,1409.655877
15000,4.789747842,1409.259991
16000,5.812932626,1409.271452
16000,5.832612764,1404.516352
16000,5.907459247,1386.721373
16000,5.812834604,1409.295216
16000,5.828775288,1405.441040
17000,6.920448191,1419.850236
17000,6.889309846,1426.267684
17000,6.886356729,1426.879319
17000,6.940209158,1415.807474
17000,6.934707793,1416.930647
18000,8.212921894,1420.201014
18000,8.113489229,1437.605902
18000,8.239663918,1415.591718
18000,8.148604495,1431.410741
18000,8.243627492,1414.911095
19000,9.789867536,1401.244700
19000,9.647304229,1421.951633
19000,9.575821007,1432.566460
19000,9.667113521,1419.037851
19000,9.724762228,1410.625749
20000,11.401553140,1403.317583
20000,11.372303769,1406.926892
20000,11.434223856,1399.307920
20000,11.449668220,1397.420405
20000,11.369941174,1407.219242
