size,runtime,GFLOPS
2000,0.14364093,1113.888639
2000,0.13879782,1152.755857
2000,0.13583923,1177.862978
2000,0.13402644,1193.794299
2000,0.13288223,1204.073712
3000,0.38218724,1412.920013
3000,0.37752026,1430.386809
3000,0.38843434,1390.196346
3000,0.46942969,1150.332012
3000,0.38931358,1387.056675
4000,0.82327834,1554.759718
4000,0.83419423,1534.414833
4000,0.82994577,1542.269442
4000,0.82836945,1545.204256
4000,0.82225857,1556.687941
5000,0.163389570,1530.085427
5000,0.163122541,1532.590153
5000,0.162944855,1534.261392
5000,0.166029626,1505.755364
5000,0.164581961,1519.000008
6000,0.276712973,1561.184484
6000,0.276770832,1560.858118
6000,0.276754464,1560.950431
6000,0.279648811,1544.794696
6000,0.276813342,1560.618418
7000,0.429140741,1598.543169
7000,0.428734266,1600.058718
7000,0.429090523,1598.730252
7000,0.429058335,1598.850189
7000,0.433318497,1583.131126
8000,0.627616829,1631.568742
8000,0.629316144,1627.163088
8000,0.627314403,1632.355315
8000,0.628362429,1629.632761
8000,0.627656469,1631.465699
9000,0.892351213,1633.885827
9000,0.889382248,1639.340119
9000,0.890974702,1636.410099
9000,0.888019492,1641.855852
9000,0.890934781,1636.483423
10000,1.260399910,1586.797955
10000,1.258590944,1589.078651
10000,1.255468847,1593.030369
10000,1.260525723,1586.639577
10000,1.261032398,1586.002075
11000,1.668030535,1595.894046
11000,1.647247086,1616.029570
11000,1.649948245,1613.383940
11000,1.651655858,1611.715895
11000,1.649752088,1613.575773
12000,2.126100577,1625.511059
12000,2.127071799,1624.768850
12000,2.125943058,1625.631499
12000,2.134855734,1618.844751
12000,2.127658816,1624.320579
13000,2.693058944,1631.601867
13000,2.693770450,1631.170911
13000,2.697078010,1629.170526
13000,2.695118265,1630.355171
13000,2.693499997,1631.334696
14000,3.381457591,1622.968750
14000,3.408581550,1610.053895
14000,3.383180313,1622.142331
14000,3.375578133,1625.795577
14000,3.369197028,1628.874760
15000,4.163798759,1621.115811
15000,4.160145721,1622.539318
15000,4.159991903,1622.599312
15000,4.161897955,1621.856199
15000,4.200245735,1607.048831
16000,5.50080656,1622.152310
16000,5.45004327,1623.784534
16000,5.49431117,1622.360977
16000,5.58456199,1619.466430
16000,5.55088425,1620.545342
17000,6.29023156,1629.783092
17000,6.25347559,1630.777296
17000,6.37576149,1627.474297
17000,6.23226019,1631.351699
17000,6.20758813,1632.020200
18000,7.138612033,1633.931070
18000,7.142053434,1633.143760
18000,7.138378661,1633.984488
18000,7.135123085,1634.730034
18000,7.157903832,1629.527341
19000,8.360554019,1640.800355
19000,8.330421689,1646.735365
19000,8.352973118,1642.289495
19000,8.348668109,1643.136345
19000,8.437737577,1625.791259
20000,9.816424422,1629.921376
20000,9.820047190,1629.320073
20000,9.810373546,1630.926684
20000,9.832350186,1627.281341
20000,9.819539608,1629.404294
