size,runtime,GFLOPS
2000,0.26894219,594.923392
2000,0.26655473,600.251963
2000,0.26970983,593.230139
2000,0.26797542,597.069686
2000,0.26709295,599.042393
3000,0.81495567,662.612728
3000,0.81146105,665.466322
3000,0.81126446,665.627581
3000,0.81797215,660.169176
3000,0.82290813,656.209339
4000,0.181313318,705.960276
4000,0.180321715,709.842406
4000,0.182919375,699.761849
4000,0.181131173,706.670188
4000,0.180332049,709.801728
5000,0.350845135,712.565104
5000,0.351367578,711.505602
5000,0.352682050,708.853768
5000,0.351120391,712.006498
5000,0.350522044,713.221905
6000,0.589001829,733.444242
6000,0.589267820,733.113171
6000,0.589555759,732.755118
6000,0.590356756,731.760915
6000,0.590972985,730.997881
7000,0.913390747,751.047678
7000,0.927481346,739.637517
7000,0.915526303,749.295785
7000,0.917744911,747.484395
7000,0.917029843,748.067258
8000,1.383157620,740.335002
8000,1.378548877,742.810079
8000,1.392570095,735.331028
8000,1.380379861,741.824790
8000,1.396750802,733.130061
9000,1.940195711,751.470582
9000,1.953654702,746.293600
9000,1.945924528,749.258247
9000,1.948239013,748.368137
9000,1.948627448,748.218959
10000,2.653433591,753.740364
10000,2.650801247,754.488856
10000,2.646987920,755.575794
10000,2.657249573,752.657944
10000,2.654766931,753.361802
11000,3.508857320,758.651537
11000,3.506185735,759.229602
11000,3.514649225,757.401331
11000,3.503193970,759.877992
11000,3.645230821,730.269256
12000,4.665980298,740.680367
12000,4.553719682,758.939997
12000,4.636160389,745.444443
12000,4.595318511,752.069740
12000,4.672094219,739.711110
13000,5.890581554,745.936536
13000,5.867567021,748.862345
13000,5.834111569,753.156663
13000,5.858154977,750.065510
13000,6.10718686,731.027391
14000,7.301117759,751.665729
14000,7.217549338,760.368893
14000,7.192281252,763.040238
14000,7.346796617,746.992232
14000,7.292245812,752.580226
15000,8.933345888,755.595953
15000,8.932941874,755.630127
15000,9.33617117,747.208999
15000,9.67106659,744.449167
15000,8.997338775,750.221834
16000,10.946836777,748.344035
16000,10.839550999,755.750861
16000,10.864258645,754.032122
16000,11.31887299,742.574664
16000,10.964962618,747.106970
17000,13.464727686,729.758539
17000,13.231352753,742.630038
17000,13.162082294,746.538411
17000,13.311304648,738.169568
17000,13.140728610,747.751536
18000,15.592175463,748.067518
18000,15.413587905,756.734906
18000,15.431747437,755.844408
18000,15.493983652,752.808333
18000,15.363609116,759.196613
19000,18.203208190,753.603423
19000,18.203761428,753.580520
19000,18.134207894,756.470869
19000,18.372113355,746.675123
19000,18.182234320,754.472732
20000,21.145510928,756.661783
20000,21.242748936,753.198188
20000,21.198294461,754.777703
20000,21.157888758,756.219119
20000,21.106400327,758.063893
