size,runtime,GFLOPS
2000,0.44403916,360.328580
2000,0.28260835,566.154539
2000,0.27061350,591.249143
2000,0.27786674,575.815587
2000,0.29972028,533.831077
3000,0.75982698,710.688110
3000,0.77900136,693.195195
3000,0.76993959,701.353726
3000,0.75566511,714.602266
3000,0.75573919,714.532218
4000,0.163759293,781.635031
4000,0.163456143,783.084671
4000,0.163498208,782.883198
4000,0.163804843,781.417678
4000,0.163741952,781.717809
5000,0.314724514,794.345495
5000,0.314140177,795.823070
5000,0.314376025,795.226035
5000,0.314304065,795.408103
5000,0.314184192,795.711581
6000,0.529593963,815.719268
6000,0.529664225,815.611060
6000,0.529261570,816.231566
6000,0.530776787,813.901456
6000,0.530472377,814.368511
7000,0.845395831,811.454203
7000,0.844888551,811.941408
7000,0.845476843,811.376451
7000,0.845823637,811.043780
7000,0.845666590,811.194398
8000,1.246249446,821.665360
8000,1.246380241,821.579135
8000,1.245707474,822.022844
8000,1.246948726,821.204576
8000,1.246306078,821.628024
9000,1.764945119,826.088009
9000,1.764551737,826.272174
9000,1.764183293,826.444738
9000,1.764098112,826.484644
9000,1.763863607,826.594525
10000,2.430454273,822.891433
10000,2.429650228,823.163753
10000,2.432158707,822.314759
10000,2.431989161,822.372086
10000,2.438289093,820.247281
11000,3.231112229,823.864914
11000,3.226375032,825.074572
11000,3.227001593,824.914374
11000,3.225862990,825.205537
11000,3.227124820,824.882875
12000,4.179188736,826.954756
12000,4.177055504,827.377083
12000,4.176801669,827.427365
12000,4.179152051,826.962015
12000,4.178255003,827.139559
13000,5.300813675,828.929344
13000,5.305530006,828.192470
13000,5.299633021,829.114013
13000,5.304769410,828.311216
13000,5.303464192,828.515069
14000,6.648333266,825.470051
14000,6.626034724,828.247999
14000,6.627456923,828.070263
14000,6.662286920,823.741167
14000,6.653569379,824.820437
15000,8.207590763,822.409425
15000,8.149408864,828.280936
15000,8.151999443,828.017721
15000,8.210129863,822.155083
15000,8.149076278,828.314740
16000,9.887690640,828.504885
16000,9.881098709,829.057602
16000,9.885171104,828.716055
16000,9.916944046,826.060928
16000,9.884310237,828.788231
17000,11.878327661,827.220824
17000,11.933002078,823.430679
17000,11.995617229,819.132506
17000,11.953137215,822.043604
17000,11.882482101,826.931605
18000,14.35466675,831.037561
18000,14.30933577,831.306052
18000,14.4554951,832.871879
18000,14.126899765,825.658863
18000,14.23232738,831.762563
19000,16.565900794,828.086572
19000,16.596860255,826.541875
19000,16.561333571,828.314939
19000,16.537457416,829.510828
19000,16.505257224,831.129125
20000,19.308510035,828.650164
20000,19.332861985,827.606384
20000,19.394474512,824.977237
20000,19.493467473,820.787786
20000,19.504673109,820.316235
