size,runtime,GFLOPS
2000,0.24418523,655.240286
2000,0.24997356,640.067694
2000,0.23430124,682.881576
2000,0.24342067,657.298330
2000,0.24443942,654.558909
3000,0.73549448,734.199936
3000,0.73296229,736.736402
3000,0.73293586,736.762969
3000,0.73345266,736.243836
3000,0.73106652,738.646874
4000,0.161982733,790.207682
4000,0.162082364,789.721947
4000,0.162086269,789.702920
4000,0.162231656,788.995213
4000,0.162308832,788.620055
5000,0.323722519,772.266325
5000,0.324311970,770.862697
5000,0.324148370,771.251757
5000,0.324586388,770.210980
5000,0.324199284,771.130636
6000,0.537458834,803.782490
6000,0.537465785,803.772095
6000,0.543159540,795.346428
6000,0.546774474,790.088090
6000,0.539126904,801.295570
7000,0.863401046,794.532278
7000,0.868573518,789.800732
7000,0.863718374,794.240369
7000,0.865624859,792.491104
7000,0.865232805,792.850197
8000,1.275335077,802.926241
8000,1.274810852,803.256419
8000,1.292480923,792.274750
8000,1.274465170,803.474292
8000,1.276117581,802.433894
9000,1.794028375,812.696176
9000,1.807407312,806.680370
9000,1.821279031,800.536313
9000,1.805698224,807.443891
9000,1.799157837,810.379151
10000,2.479889148,806.487662
10000,2.468588729,810.179507
10000,2.468696146,810.144255
10000,2.471756030,809.141346
10000,2.467062982,810.680560
11000,3.310320421,804.151762
11000,3.315532762,802.887557
11000,3.313653544,803.342886
11000,3.306185208,805.157555
11000,3.318437508,802.184761
12000,4.337624223,796.749516
12000,4.330636033,798.035202
12000,4.344985065,795.399742
12000,4.426293668,780.788682
12000,4.323296883,799.389932
13000,5.433845863,808.635377
13000,5.479938393,801.833832
13000,5.443838217,807.151099
13000,5.443232731,807.240884
13000,5.470786707,803.175162
14000,6.885519893,797.034949
14000,6.841093795,802.210898
14000,6.843531534,801.925142
14000,6.896655539,795.748021
14000,6.879857925,797.690891
15000,8.395583405,803.994157
15000,8.404550596,803.136339
15000,8.395225445,804.028438
15000,8.403889140,803.199553
15000,8.403901428,803.198378
16000,10.171941342,805.352658
16000,10.154227135,806.757609
16000,10.179115978,804.785015
16000,10.180881033,804.645489
16000,10.189161767,803.991554
17000,12.274104633,800.547192
17000,12.212212992,804.604375
17000,12.214499673,804.453745
17000,12.213300288,804.532744
17000,12.256143185,801.720399
18000,14.444703996,807.493182
18000,14.456462078,806.836412
18000,14.450546027,807.166731
18000,14.432204249,808.192553
18000,14.425301368,808.579294
19000,17.7652615,806.578092
19000,17.20740901,805.957865
19000,17.15642027,806.199377
19000,17.25003941,805.756054
19000,17.11268309,806.406657
20000,19.909354499,803.642328
20000,19.915400419,803.398358
20000,19.907409323,803.720853
20000,19.891505819,804.363438
20000,19.910010302,803.615857
