size,runtime,GFLOPS
2000,0.15548674,1029.026655
2000,0.14889235,1074.601885
2000,0.15760512,1015.195445
2000,0.15485709,1033.210685
2000,0.14976654,1068.329415
3000,0.43566659,1239.479943
3000,0.43926588,1229.323798
3000,0.43088413,1253.237152
3000,0.43403879,1244.128434
3000,0.43320028,1246.536590
4000,0.98787950,1295.704587
4000,0.98763544,1296.024776
4000,0.98239789,1302.934395
4000,0.98522625,1299.193967
4000,0.98290031,1302.268386
5000,0.189368405,1320.177989
5000,0.188591977,1325.613125
5000,0.188987457,1322.839113
5000,0.186098525,1343.374430
5000,0.188164904,1328.621835
6000,0.317250496,1361.699999
6000,0.318602206,1355.922815
6000,0.316617099,1364.424099
6000,0.316528975,1364.803965
6000,0.317102120,1362.337155
7000,0.499160127,1374.308489
7000,0.502709530,1364.605123
7000,0.497576789,1378.681673
7000,0.496093281,1382.804457
7000,0.498198051,1376.962432
8000,0.734293596,1394.537560
8000,0.737090309,1389.246321
8000,0.736891337,1389.621439
8000,0.736052800,1391.204544
8000,0.732845491,1397.293171
9000,1.44147989,1396.353788
9000,1.36542564,1406.599257
9000,1.41654879,1399.695839
9000,1.42976317,1397.922442
9000,1.47502111,1391.882637
10000,1.424980817,1403.527666
10000,1.428155090,1400.408131
10000,1.435890927,1392.863457
10000,1.429854698,1398.743525
10000,1.431873192,1396.771733
11000,1.895701403,1404.229588
11000,1.872771797,1421.422516
11000,1.900840003,1400.433490
11000,1.879982234,1415.970828
11000,1.879526388,1416.314247
12000,2.441631964,1415.446738
12000,2.443442488,1414.397931
12000,2.451471253,1409.765665
12000,2.454920086,1407.785133
12000,2.431713618,1421.219988
13000,3.120571038,1408.075620
13000,3.125774711,1405.731509
13000,3.118870875,1408.843192
13000,3.118533027,1408.995820
13000,3.86285684,1423.717844
14000,3.899278456,1407.439879
14000,3.905733387,1405.113830
14000,3.929093370,1396.759884
14000,3.870361578,1417.955374
14000,3.879476931,1414.623697
15000,4.792915798,1408.328517
15000,4.778596076,1412.548768
15000,4.804848352,1404.831018
15000,4.776213463,1413.253418
15000,4.702531277,1435.397152
16000,5.773699174,1418.847736
16000,5.797179014,1413.101093
16000,5.745099604,1425.910874
16000,5.805194443,1411.149976
16000,5.799507721,1412.533683
17000,6.898618556,1424.343138
17000,7.2105937,1403.292108
17000,6.944475048,1414.937764
17000,7.30745797,1397.575774
17000,7.5521703,1402.607888
18000,8.248802419,1414.023443
18000,8.191878137,1423.849306
18000,8.422893760,1384.797236
18000,8.323468535,1401.338871
18000,8.192055544,1423.818471
19000,9.742514963,1408.055318
19000,9.726396019,1410.388799
19000,9.480559312,1446.961044
19000,9.678757532,1417.330681
19000,9.732055551,1409.568608
20000,11.508879929,1390.230856
20000,11.470862754,1394.838413
20000,11.323634859,1412.973855
20000,11.444406901,1398.062839
20000,11.342486028,1410.625498
